method,k,actual_k,mean,std
mRMR,3,3.0,0.3658862286794556,0.05053253593159155
mRMR,5,5.0,0.4962896735228462,0.11128399654299177
mRMR,7,7.0,0.5926116402721384,0.1279653455023892
mRMR,10,10.0,0.664040357095234,0.07145816359155095
mRMR,15,15.0,0.699604046908943,0.09667231388157742
mRMR,20,20.0,0.7132571826398372,0.07737330199805725
mRMR,25,25.0,0.7193642789949435,0.06664463575505657
Mutual Information,3,3.0,0.5172222777219712,0.0998548091166475
Mutual Information,5,5.0,0.5978543411740064,0.08798567350961181
Mutual Information,7,7.0,0.6113399602060146,0.0899545137379721
Mutual Information,10,10.0,0.6678953598356321,0.08808104524624723
Mutual Information,15,15.0,0.6947653243727142,0.1014729814975422
Mutual Information,20,20.0,0.699077575598628,0.06995802904630649
Mutual Information,25,25.0,0.7223269600472709,0.06457494794732532
Elastic Net,3,3.0,0.5592378167245208,0.08138358688112289
Elastic Net,5,5.0,0.6019081472026446,0.09470837262692666
Elastic Net,7,7.0,0.627009464194652,0.10093324745097293
Elastic Net,10,10.0,0.6761930525846261,0.09773728491886097
Elastic Net,15,14.5,0.6961073394068872,0.06861141866849023
Elastic Net,20,17.3,0.713231936340166,0.07943180861154309
Elastic Net,25,19.3,0.7017961168812665,0.08081042371951523
RFE,3,3.0,0.4985112226301511,0.06732563821903571
RFE,5,5.0,0.6014222683307912,0.08843909904276416
RFE,7,7.0,0.6332590009733725,0.09751619371452303
RFE,10,10.0,0.6553783791213369,0.07695279639549571
RFE,15,15.0,0.683260557615241,0.07379772477076682
RFE,20,20.0,0.6999248256519095,0.05930509028618257
RFE,25,25.0,0.7087405720942023,0.0791766870072291
