method,k,actual_k,mean,std
mRMR,3,3.0,0.3833920474280067,0.05943632610112068
mRMR,5,5.0,0.536433199553874,0.11507589042151109
mRMR,7,7.0,0.6124731176452429,0.10191888811631453
mRMR,10,10.0,0.6725452229682749,0.062450358547844635
mRMR,15,15.0,0.7013981246993566,0.07989944853791185
mRMR,20,20.0,0.7132653649397223,0.07370176161576977
mRMR,25,25.0,0.7171738299408156,0.06157471327083535
Mutual Information,3,3.0,0.5256060662633242,0.0876174237327926
Mutual Information,5,5.0,0.6024648236497929,0.07624783543304409
Mutual Information,7,7.0,0.6285862492637971,0.08036807327870026
Mutual Information,10,10.0,0.6809007301528017,0.0823409132520518
Mutual Information,15,15.0,0.7037963839707568,0.07656884872909978
Mutual Information,20,20.0,0.6965606685114629,0.07124764946519957
Mutual Information,25,25.0,0.7147818265414565,0.07633316949085082
Elastic Net,3,3.0,0.5527674451621378,0.07482876762085074
Elastic Net,5,5.0,0.6078384612961131,0.08004455712013724
Elastic Net,7,7.0,0.6414499785511643,0.0764066484029348
Elastic Net,10,10.0,0.6771524432266685,0.0786799224743344
Elastic Net,15,14.48,0.7064299709779582,0.07060425037882768
Elastic Net,20,17.84,0.7213293385049053,0.06873960635053378
Elastic Net,25,20.52,0.7144090802518,0.06860865410573204
RFE,3,3.0,0.5159048213568742,0.05461307229408325
RFE,5,5.0,0.6125383410509475,0.07762448998764106
RFE,7,7.0,0.6613410393950097,0.0838415516850662
RFE,10,10.0,0.65878781193399,0.07456426596652226
RFE,15,15.0,0.696376361887029,0.07372305077759628
RFE,20,20.0,0.7105154981276973,0.06491145634393614
RFE,25,25.0,0.7138622879942015,0.06301844982468043
