method,k,actual_k,mean,std
mRMR,5,5.0,0.45011563916711567,0.06534090254604885
mRMR,10,10.0,0.5451665047586168,0.07049336502732684
mRMR,20,20.0,0.6284036080063895,0.08056164572568202
mRMR,40,40.0,0.6778984308930508,0.06465479923340355
mRMR,60,60.0,0.7127640428878018,0.0716205129911866
mRMR,100,100.0,0.7494816933399572,0.05766558999468184
mRMR,140,140.0,0.7489279575060579,0.05784344981260104
Mutual Information,5,5.0,0.5267430795518512,0.06231425500755513
Mutual Information,10,10.0,0.5569818539170283,0.06162601185652816
Mutual Information,20,20.0,0.6191105182319395,0.07278919163798972
Mutual Information,40,40.0,0.6657188964417554,0.07359469733089723
Mutual Information,60,60.0,0.671466589509053,0.07308629988103318
Mutual Information,100,100.0,0.7285057636345209,0.06263044916630328
Mutual Information,140,140.0,0.7499743604694697,0.053785212967583346
Elastic Net,5,5.0,0.39224924646707565,0.06080233720282631
Elastic Net,10,10.0,0.5734443255453101,0.08051790265863883
Elastic Net,20,19.6,0.6440370370019131,0.06898673454792012
Elastic Net,40,38.76,0.7068237384749723,0.07080494875203514
Elastic Net,60,56.0,0.7334822899195252,0.05812529377136809
Elastic Net,100,62.32,0.7304963649661859,0.05838329003198796
Elastic Net,140,63.92,0.7295082773139111,0.05907297318528866
RFE,5,5.0,0.577785329163104,0.07557239088394448
RFE,10,10.0,0.6272595747040569,0.06406104879002733
RFE,20,20.0,0.6743199408587214,0.06844062680676373
RFE,40,40.0,0.7078393419548564,0.07260241838813901
RFE,60,60.0,0.7238575648527477,0.05860753967487418
RFE,100,100.0,0.7440893551337312,0.06142629654955434
RFE,140,140.0,0.745376343636098,0.06674302256394904
