method,k,actual_k,diverged,mean,std
mRMR,10,10.0,False,0.5529074831757429,0.07504102833835138
mRMR,25,25.0,False,0.6794183868046038,0.07056925268406083
mRMR,50,50.0,False,0.7254481110425912,0.06400982675720596
mRMR,100,100.0,False,0.7654613172549378,0.06224532489557947
mRMR,200,200.0,False,0.7713480634483142,0.06232148225774498
mRMR,350,350.0,False,0.7794536735844174,0.06305358562444828
mRMR,500,500.0,False,0.778877237465982,0.053067815600297524
Mutual Information,10,10.0,False,0.5560497495044929,0.06831630992243934
Mutual Information,25,25.0,False,0.6337071261280974,0.07778681417896675
Mutual Information,50,50.0,False,0.6864080459669747,0.07304462783587905
Mutual Information,100,100.0,False,0.7272294351930785,0.06502815710859529
Mutual Information,200,200.0,False,0.7780959535421169,0.062098030975994256
Mutual Information,350,350.0,False,0.788758152711924,0.057593343124237285
Mutual Information,500,500.0,False,0.7821958247793984,0.06414909578589621
Elastic Net,10,10.0,False,0.5043107748922522,0.08787014110930652
Elastic Net,25,25.0,False,0.6360912190043129,0.06524724365306937
Elastic Net,50,50.0,False,0.7015587373728677,0.0692008809904341
Elastic Net,100,100.0,False,0.7514040959333897,0.07105736370671713
Elastic Net,200,194.28,True,0.7647419967785427,0.0672552371885341
Elastic Net,350,228.12,True,0.7634436777283379,0.06237643531514224
Elastic Net,500,228.84,True,0.7619703234302232,0.06264386521197082
RFE,10,10.0,False,0.6667718911266326,0.08066151133986371
RFE,25,25.0,False,0.7246817606255352,0.0724755560213257
RFE,50,50.0,False,0.7522915594047369,0.0763745960593339
RFE,100,100.0,False,0.7798296654098781,0.06610967208194753
RFE,200,200.0,False,0.7772470030069283,0.06587413748115109
RFE,350,350.0,False,0.7755278779633741,0.06751006080893796
RFE,500,500.0,False,0.7726968777873391,0.0641904790570696
