A,B,mean_diff,wilcoxon_p,paired_t_p,corrected_t_p,wilcoxon_holm,corrected_t_holm
mRMR,Length only,0.43861325700358245,5.960464477539063e-08,9.173438189886373e-22,4.799900132964796e-12,8.940696716308594e-07,7.199850199447195e-11
Baseline,Length only,0.4365785276607352,5.960464477539063e-08,1.5925793131512804e-20,5.889540314603446e-11,8.940696716308594e-07,7.65640240898448e-10
RFE,Length only,0.4362744265301869,5.960464477539063e-08,1.9133765272604247e-20,6.902159506724096e-11,8.940696716308594e-07,8.282591408068916e-10
Elastic Net,Length only,0.4152621406968828,5.960464477539063e-08,1.1586602145591916e-20,4.4700902533013074e-11,8.940696716308594e-07,6.25812635462183e-10
Mutual Information,Length only,0.4109864797742977,5.960464477539063e-08,5.470837868820852e-19,1.1784157210451422e-09,8.940696716308594e-07,1.2962572931496564e-08
mRMR,Mutual Information,0.02762677722928473,0.007838221652520782,0.008951041278044813,0.301289703873525,0.07838221652520781,1.0
Baseline,Mutual Information,0.025592047886437475,0.011129014082381268,0.008207015567826206,0.2951735052777944,0.1001611267414314,1.0
RFE,Mutual Information,0.025287946755889218,0.022089328068250483,0.03812779498639295,0.4231074649857949,0.1546252964777534,1.0
mRMR,Elastic Net,0.02335111630669966,0.011860978323088188,0.008023513126060108,0.2935986641373876,0.1001611267414314,1.0
Baseline,Elastic Net,0.021316386963852407,0.023803700728735316,0.014712278336194649,0.3386473341033771,0.1546252964777534,1.0
RFE,Elastic Net,0.02101228583330415,0.04250196114281887,0.03956795786992954,0.42679347763547515,0.21250980571409436,1.0
Elastic Net,Mutual Information,0.004275660922585067,0.457846462726593,0.5953692675391764,0.8432453439570917,1.0,1.0
mRMR,RFE,0.00233883047339551,0.9031684413796277,0.7765842956743163,0.9160042660873482,1.0,1.0
mRMR,Baseline,0.002034729342847252,0.7676577617530682,0.7739628434384562,0.9149936272317701,1.0,1.0
Baseline,RFE,0.00030410113054825773,0.8373005793912056,0.9612603903185013,0.9856072830513678,1.0,1.0
