ID,CTD_C_hydrophobicity_g1,CTD_C_hydrophobicity_g2,CTD_C_hydrophobicity_g3,CTD_C_vdw_volume_g1,CTD_C_vdw_volume_g2,CTD_C_vdw_volume_g3,CTD_C_polarity_g1,CTD_C_polarity_g2,CTD_C_polarity_g3,CTD_C_polarizability_g1,CTD_C_polarizability_g2,CTD_C_polarizability_g3,CTD_C_charge_g1,CTD_C_charge_g2,CTD_C_charge_g3,CTD_C_secondary_structure_g1,CTD_C_secondary_structure_g2,CTD_C_secondary_structure_g3,CTD_C_solvent_accessibility_g1,CTD_C_solvent_accessibility_g2,CTD_C_solvent_accessibility_g3,CTD_T_hydrophobicity_12,CTD_T_hydrophobicity_13,CTD_T_hydrophobicity_23,CTD_T_vdw_volume_12,CTD_T_vdw_volume_13,CTD_T_vdw_volume_23,CTD_T_polarity_12,CTD_T_polarity_13,CTD_T_polarity_23,CTD_T_polarizability_12,CTD_T_polarizability_13,CTD_T_polarizability_23,CTD_T_charge_12,CTD_T_charge_13,CTD_T_charge_23,CTD_T_secondary_structure_12,CTD_T_secondary_structure_13,CTD_T_secondary_structure_23,CTD_T_solvent_accessibility_12,CTD_T_solvent_accessibility_13,CTD_T_solvent_accessibility_23,CTD_D_hydrophobicity_g1_0,CTD_D_hydrophobicity_g1_25,CTD_D_hydrophobicity_g1_50,CTD_D_hydrophobicity_g1_75,CTD_D_hydrophobicity_g1_100,CTD_D_hydrophobicity_g2_0,CTD_D_hydrophobicity_g2_25,CTD_D_hydrophobicity_g2_50,CTD_D_hydrophobicity_g2_75,CTD_D_hydrophobicity_g2_100,CTD_D_hydrophobicity_g3_0,CTD_D_hydrophobicity_g3_25,CTD_D_hydrophobicity_g3_50,CTD_D_hydrophobicity_g3_75,CTD_D_hydrophobicity_g3_100,CTD_D_vdw_volume_g1_0,CTD_D_vdw_volume_g1_25,CTD_D_vdw_volume_g1_50,CTD_D_vdw_volume_g1_75,CTD_D_vdw_volume_g1_100,CTD_D_vdw_volume_g2_0,CTD_D_vdw_volume_g2_25,CTD_D_vdw_volume_g2_50,CTD_D_vdw_volume_g2_75,CTD_D_vdw_volume_g2_100,CTD_D_vdw_volume_g3_0,CTD_D_vdw_volume_g3_25,CTD_D_vdw_volume_g3_50,CTD_D_vdw_volume_g3_75,CTD_D_vdw_volume_g3_100,CTD_D_polarity_g1_0,CTD_D_polarity_g1_25,CTD_D_polarity_g1_50,CTD_D_polarity_g1_75,CTD_D_polarity_g1_100,CTD_D_polarity_g2_0,CTD_D_polarity_g2_25,CTD_D_polarity_g2_50,CTD_D_polarity_g2_75,CTD_D_polarity_g2_100,CTD_D_polarity_g3_0,CTD_D_polarity_g3_25,CTD_D_polarity_g3_50,CTD_D_polarity_g3_75,CTD_D_polarity_g3_100,CTD_D_polarizability_g1_0,CTD_D_polarizability_g1_25,CTD_D_polarizability_g1_50,CTD_D_polarizability_g1_75,CTD_D_polarizability_g1_100,CTD_D_polarizability_g2_0,CTD_D_polarizability_g2_25,CTD_D_polarizability_g2_50,CTD_D_polarizability_g2_75,CTD_D_polarizability_g2_100,CTD_D_polarizability_g3_0,CTD_D_polarizability_g3_25,CTD_D_polarizability_g3_50,CTD_D_polarizability_g3_75,CTD_D_polarizability_g3_100,CTD_D_charge_g1_0,CTD_D_charge_g1_25,CTD_D_charge_g1_50,CTD_D_charge_g1_75,CTD_D_charge_g1_100,CTD_D_charge_g2_0,CTD_D_charge_g2_25,CTD_D_charge_g2_50,CTD_D_charge_g2_75,CTD_D_charge_g2_100,CTD_D_charge_g3_0,CTD_D_charge_g3_25,CTD_D_charge_g3_50,CTD_D_charge_g3_75,CTD_D_charge_g3_100,CTD_D_secondary_structure_g1_0,CTD_D_secondary_structure_g1_25,CTD_D_secondary_structure_g1_50,CTD_D_secondary_structure_g1_75,CTD_D_secondary_structure_g1_100,CTD_D_secondary_structure_g2_0,CTD_D_secondary_structure_g2_25,CTD_D_secondary_structure_g2_50,CTD_D_secondary_structure_g2_75,CTD_D_secondary_structure_g2_100,CTD_D_secondary_structure_g3_0,CTD_D_secondary_structure_g3_25,CTD_D_secondary_structure_g3_50,CTD_D_secondary_structure_g3_75,CTD_D_secondary_structure_g3_100,CTD_D_solvent_accessibility_g1_0,CTD_D_solvent_accessibility_g1_25,CTD_D_solvent_accessibility_g1_50,CTD_D_solvent_accessibility_g1_75,CTD_D_solvent_accessibility_g1_100,CTD_D_solvent_accessibility_g2_0,CTD_D_solvent_accessibility_g2_25,CTD_D_solvent_accessibility_g2_50,CTD_D_solvent_accessibility_g2_75,CTD_D_solvent_accessibility_g2_100,CTD_D_solvent_accessibility_g3_0,CTD_D_solvent_accessibility_g3_25,CTD_D_solvent_accessibility_g3_50,CTD_D_solvent_accessibility_g3_75,CTD_D_solvent_accessibility_g3_100
Positive_NA7,0.000000,0.750000,0.250000,0.250000,0.000000,0.750000,0.500000,0.250000,0.250000,0.000000,0.250000,0.750000,0.000000,1.000000,0.000000,0.250000,0.500000,0.250000,0.250000,0.000000,0.750000,0.000000,0.000000,0.333333,0.000000,0.666667,0.000000,0.333333,0.333333,0.333333,0.000000,0.000000,0.666667,0.000000,0.000000,0.000000,0.333333,0.333333,0.333333,0.000000,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,25.000000,50.000000,75.000000,75.000000,100.000000,100.000000,100.000000,100.000000,100.000000,75.000000,75.000000,75.000000,75.000000,75.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,25.000000,50.000000,100.000000,100.000000,25.000000,25.000000,25.000000,100.000000,100.000000,75.000000,75.000000,75.000000,75.000000,75.000000,50.000000,50.000000,50.000000,50.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,75.000000,75.000000,75.000000,75.000000,75.000000,25.000000,25.000000,50.000000,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,25.000000,50.000000,75.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,50.000000,50.000000,50.000000,50.000000,25.000000,25.000000,25.000000,100.000000,100.000000,75.000000,75.000000,75.000000,75.000000,75.000000,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,25.000000,50.000000,75.000000,75.000000
Positive_NA9,0.500000,0.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.500000,0.000000,0.500000,0.500000,0.000000,0.500000,0.500000,0.000000,0.000000,0.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.666667,0.000000,0.000000,0.000000,0.000000,0.666667,0.000000,0.000000,0.666667,0.000000,0.000000,0.666667,0.000000,0.000000,25.000000,25.000000,25.000000,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,50.000000,50.000000,75.000000,75.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,25.000000,50.000000,75.000000,100.000000,50.000000,50.000000,50.000000,75.000000,75.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,25.000000,25.000000,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,25.000000,50.000000,75.000000,100.000000,25.000000,25.000000,25.000000,100.000000,100.000000,50.000000,50.000000,50.000000,75.000000,75.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,25.000000,25.000000,100.000000,100.000000,50.000000,50.000000,50.000000,75.000000,75.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,50.000000,50.000000,75.000000,75.000000,25.000000,25.000000,25.000000,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_NA12,0.242424,0.363636,0.393939,0.545455,0.272727,0.181818,0.393939,0.363636,0.242424,0.272727,0.545455,0.181818,0.151515,0.848485,0.000000,0.333333,0.363636,0.303030,0.515152,0.242424,0.242424,0.125000,0.218750,0.375000,0.250000,0.187500,0.093750,0.375000,0.218750,0.125000,0.343750,0.093750,0.187500,0.281250,0.000000,0.000000,0.250000,0.343750,0.156250,0.250000,0.343750,0.093750,3.030303,21.212121,45.454545,81.818182,96.969697,12.121212,18.181818,39.393939,63.636364,90.909091,6.060606,30.303030,54.545455,72.727273,100.000000,6.060606,24.242424,51.515152,69.696970,90.909091,9.090909,48.484848,78.787879,93.939394,100.000000,3.030303,21.212121,33.333333,45.454545,84.848485,6.060606,30.303030,54.545455,72.727273,100.000000,12.121212,18.181818,39.393939,63.636364,90.909091,3.030303,21.212121,45.454545,81.818182,96.969697,15.151515,24.242424,60.606061,69.696970,90.909091,6.060606,30.303030,54.545455,81.818182,100.000000,3.030303,21.212121,33.333333,45.454545,84.848485,3.030303,21.212121,33.333333,45.454545,84.848485,6.060606,27.272727,54.545455,75.757576,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.030303,15.151515,42.424242,78.787879,96.969697,6.060606,27.272727,54.545455,87.878788,100.000000,12.121212,36.363636,51.515152,69.696970,81.818182,6.060606,27.272727,54.545455,66.666667,100.000000,3.030303,21.212121,45.454545,81.818182,96.969697,12.121212,24.242424,42.424242,69.696970,90.909091
Positive_1711,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,50.000000,50.000000,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,50.000000,50.000000,100.000000,100.000000,50.000000,50.000000,50.000000,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,50.000000,50.000000,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,50.000000,50.000000,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,50.000000,50.000000,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,50.000000,50.000000,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_NA16,0.342105,0.315789,0.342105,0.315789,0.368421,0.315789,0.342105,0.315789,0.342105,0.263158,0.421053,0.315789,0.236842,0.710526,0.052632,0.500000,0.263158,0.236842,0.578947,0.342105,0.078947,0.216216,0.270270,0.243243,0.297297,0.162162,0.243243,0.243243,0.270270,0.216216,0.351351,0.108108,0.297297,0.405405,0.027027,0.081081,0.351351,0.270270,0.081081,0.459459,0.054054,0.027027,7.894737,23.684211,39.473684,50.000000,92.105263,5.263158,52.631579,68.421053,84.210526,100.000000,2.631579,18.421053,44.736842,73.684211,97.368421,5.263158,52.631579,68.421053,84.210526,100.000000,15.789474,34.210526,50.000000,78.947368,97.368421,2.631579,10.526316,21.052632,39.473684,92.105263,2.631579,18.421053,44.736842,73.684211,97.368421,5.263158,52.631579,68.421053,84.210526,100.000000,7.894737,23.684211,39.473684,50.000000,92.105263,36.842105,63.157895,71.052632,89.473684,100.000000,5.263158,28.947368,50.000000,73.684211,97.368421,2.631579,10.526316,21.052632,39.473684,92.105263,7.894737,21.052632,31.578947,47.368421,92.105263,2.631579,34.210526,57.894737,78.947368,100.000000,28.947368,28.947368,28.947368,86.842105,86.842105,2.631579,23.684211,60.526316,86.842105,97.368421,10.526316,18.421053,34.210526,57.894737,78.947368,5.263158,42.105263,52.631579,68.421053,100.000000,10.526316,36.842105,63.157895,81.578947,100.000000,7.894737,23.684211,39.473684,50.000000,92.105263,2.631579,2.631579,5.263158,68.421053,68.421053
Positive_1045,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.333333,0.666667,0.000000,0.333333,0.333333,0.333333,0.666667,0.333333,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,100.000000,100.000000,100.000000,100.000000,100.000000,66.666667,66.666667,66.666667,66.666667,66.666667,33.333333,33.333333,33.333333,33.333333,33.333333,66.666667,66.666667,66.666667,66.666667,66.666667,33.333333,33.333333,33.333333,33.333333,33.333333,100.000000,100.000000,100.000000,100.000000,100.000000,33.333333,33.333333,33.333333,33.333333,33.333333,66.666667,66.666667,66.666667,66.666667,66.666667,100.000000,100.000000,100.000000,100.000000,100.000000,66.666667,66.666667,66.666667,66.666667,66.666667,33.333333,33.333333,33.333333,33.333333,33.333333,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,33.333333,33.333333,33.333333,66.666667,66.666667,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,100.000000,100.000000,100.000000,33.333333,33.333333,33.333333,33.333333,33.333333,66.666667,66.666667,66.666667,66.666667,66.666667,33.333333,33.333333,33.333333,66.666667,66.666667,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_1046,0.000000,0.666667,0.333333,0.666667,0.333333,0.000000,0.333333,0.666667,0.000000,0.666667,0.333333,0.000000,0.000000,1.000000,0.000000,0.333333,0.333333,0.333333,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.333333,33.333333,33.333333,100.000000,100.000000,66.666667,66.666667,66.666667,66.666667,66.666667,33.333333,33.333333,33.333333,100.000000,100.000000,66.666667,66.666667,66.666667,66.666667,66.666667,0.000000,0.000000,0.000000,0.000000,0.000000,66.666667,66.666667,66.666667,66.666667,66.666667,33.333333,33.333333,33.333333,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.333333,33.333333,33.333333,100.000000,100.000000,66.666667,66.666667,66.666667,66.666667,66.666667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.333333,33.333333,66.666667,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.333333,33.333333,33.333333,33.333333,33.333333,66.666667,66.666667,66.666667,66.666667,66.666667,100.000000,100.000000,100.000000,100.000000,100.000000,33.333333,33.333333,66.666667,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_1050,0.333333,0.000000,0.666667,0.000000,0.333333,0.666667,0.666667,0.000000,0.333333,0.000000,0.333333,0.666667,0.333333,0.666667,0.000000,0.666667,0.333333,0.000000,0.666667,0.333333,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.500000,0.000000,0.500000,0.000000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000,1.000000,0.000000,0.000000,0.500000,0.000000,0.000000,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.333333,33.333333,33.333333,66.666667,66.666667,0.000000,0.000000,0.000000,0.000000,0.000000,33.333333,33.333333,33.333333,33.333333,33.333333,66.666667,66.666667,66.666667,100.000000,100.000000,33.333333,33.333333,33.333333,66.666667,66.666667,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.333333,33.333333,33.333333,33.333333,33.333333,66.666667,66.666667,66.666667,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,33.333333,33.333333,33.333333,66.666667,66.666667,0.000000,0.000000,0.000000,0.000000,0.000000,33.333333,33.333333,33.333333,100.000000,100.000000,66.666667,66.666667,66.666667,66.666667,66.666667,0.000000,0.000000,0.000000,0.000000,0.000000,33.333333,33.333333,33.333333,66.666667,66.666667,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_1657,0.000000,0.222222,0.777778,0.222222,0.555556,0.222222,0.777778,0.222222,0.000000,0.000000,0.777778,0.222222,0.000000,1.000000,0.000000,0.222222,0.555556,0.222222,0.777778,0.000000,0.222222,0.000000,0.000000,0.250000,0.125000,0.125000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.125000,0.000000,0.000000,0.000000,0.375000,0.000000,0.250000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.666667,66.666667,66.666667,77.777778,77.777778,11.111111,22.222222,44.444444,88.888889,100.000000,66.666667,66.666667,66.666667,77.777778,77.777778,11.111111,22.222222,33.333333,44.444444,55.555556,88.888889,88.888889,88.888889,100.000000,100.000000,11.111111,22.222222,44.444444,88.888889,100.000000,66.666667,66.666667,66.666667,77.777778,77.777778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.111111,22.222222,44.444444,66.666667,77.777778,88.888889,88.888889,88.888889,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.111111,33.333333,55.555556,77.777778,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.111111,11.111111,11.111111,44.444444,44.444444,22.222222,33.333333,55.555556,88.888889,100.000000,66.666667,66.666667,66.666667,77.777778,77.777778,11.111111,22.222222,44.444444,88.888889,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.666667,66.666667,66.666667,77.777778,77.777778
Positive_1660,0.000000,0.333333,0.666667,0.222222,0.555556,0.222222,0.777778,0.222222,0.000000,0.000000,0.777778,0.222222,0.000000,1.000000,0.000000,0.222222,0.555556,0.222222,0.666667,0.000000,0.333333,0.000000,0.000000,0.375000,0.125000,0.125000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.125000,0.000000,0.000000,0.000000,0.375000,0.000000,0.250000,0.000000,0.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.666667,66.666667,77.777778,100.000000,100.000000,11.111111,22.222222,33.333333,55.555556,88.888889,66.666667,66.666667,66.666667,77.777778,77.777778,11.111111,22.222222,33.333333,44.444444,55.555556,88.888889,88.888889,88.888889,100.000000,100.000000,11.111111,22.222222,44.444444,88.888889,100.000000,66.666667,66.666667,66.666667,77.777778,77.777778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.111111,22.222222,44.444444,66.666667,77.777778,88.888889,88.888889,88.888889,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.111111,33.333333,55.555556,77.777778,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.111111,11.111111,11.111111,44.444444,44.444444,22.222222,33.333333,55.555556,88.888889,100.000000,66.666667,66.666667,66.666667,77.777778,77.777778,11.111111,22.222222,33.333333,55.555556,88.888889,0.000000,0.000000,0.000000,0.000000,0.000000,66.666667,66.666667,77.777778,100.000000,100.000000
