kind,a,b,r
duplicate_dropped,CTD_C_hydrophobicity_g1,CTD_C_solvent_accessibility_g2,1.0
duplicate_dropped,CTD_C_vdw_volume_g3,CTD_C_polarizability_g3,1.0
duplicate_dropped,CTD_D_hydrophobicity_g1_0,CTD_D_solvent_accessibility_g2_0,1.0
duplicate_dropped,CTD_D_hydrophobicity_g1_25,CTD_D_solvent_accessibility_g2_25,1.0
duplicate_dropped,CTD_D_hydrophobicity_g1_50,CTD_D_solvent_accessibility_g2_50,1.0
duplicate_dropped,CTD_D_hydrophobicity_g1_75,CTD_D_solvent_accessibility_g2_75,1.0
duplicate_dropped,CTD_D_hydrophobicity_g1_100,CTD_D_solvent_accessibility_g2_100,1.0
duplicate_dropped,CTD_D_vdw_volume_g3_0,CTD_D_polarizability_g3_0,1.0
duplicate_dropped,CTD_D_vdw_volume_g3_25,CTD_D_polarizability_g3_25,1.0
duplicate_dropped,CTD_D_vdw_volume_g3_50,CTD_D_polarizability_g3_50,1.0
duplicate_dropped,CTD_D_vdw_volume_g3_75,CTD_D_polarizability_g3_75,1.0
duplicate_dropped,CTD_D_vdw_volume_g3_100,CTD_D_polarizability_g3_100,1.0
redundant_kept,CTD_C_hydrophobicity_g3,CTD_C_polarity_g1,0.9504400234311936
redundant_kept,CTD_D_hydrophobicity_g1_0,CTD_D_polarity_g3_0,0.953503423044107
redundant_kept,CTD_D_charge_g3_0,CTD_D_charge_g3_25,0.9706727340285966
redundant_kept,CTD_D_charge_g3_75,CTD_D_charge_g3_100,0.9770992646315095
