ID,CTD_C_hydrophobicity_g1,CTD_C_hydrophobicity_g2,CTD_C_hydrophobicity_g3,CTD_C_vdw_volume_g1,CTD_C_vdw_volume_g2,CTD_C_vdw_volume_g3,CTD_C_polarity_g1,CTD_C_polarity_g2,CTD_C_polarity_g3,CTD_C_polarizability_g1,CTD_C_polarizability_g2,CTD_C_polarizability_g3,CTD_C_charge_g1,CTD_C_charge_g2,CTD_C_charge_g3,CTD_C_secondary_structure_g1,CTD_C_secondary_structure_g2,CTD_C_secondary_structure_g3,CTD_C_solvent_accessibility_g1,CTD_C_solvent_accessibility_g2,CTD_C_solvent_accessibility_g3,CTD_T_hydrophobicity_12,CTD_T_hydrophobicity_13,CTD_T_hydrophobicity_23,CTD_T_vdw_volume_12,CTD_T_vdw_volume_13,CTD_T_vdw_volume_23,CTD_T_polarity_12,CTD_T_polarity_13,CTD_T_polarity_23,CTD_T_polarizability_12,CTD_T_polarizability_13,CTD_T_polarizability_23,CTD_T_charge_12,CTD_T_charge_13,CTD_T_charge_23,CTD_T_secondary_structure_12,CTD_T_secondary_structure_13,CTD_T_secondary_structure_23,CTD_T_solvent_accessibility_12,CTD_T_solvent_accessibility_13,CTD_T_solvent_accessibility_23,CTD_D_hydrophobicity_g1_0,CTD_D_hydrophobicity_g1_25,CTD_D_hydrophobicity_g1_50,CTD_D_hydrophobicity_g1_75,CTD_D_hydrophobicity_g1_100,CTD_D_hydrophobicity_g2_0,CTD_D_hydrophobicity_g2_25,CTD_D_hydrophobicity_g2_50,CTD_D_hydrophobicity_g2_75,CTD_D_hydrophobicity_g2_100,CTD_D_hydrophobicity_g3_0,CTD_D_hydrophobicity_g3_25,CTD_D_hydrophobicity_g3_50,CTD_D_hydrophobicity_g3_75,CTD_D_hydrophobicity_g3_100,CTD_D_vdw_volume_g1_0,CTD_D_vdw_volume_g1_25,CTD_D_vdw_volume_g1_50,CTD_D_vdw_volume_g1_75,CTD_D_vdw_volume_g1_100,CTD_D_vdw_volume_g2_0,CTD_D_vdw_volume_g2_25,CTD_D_vdw_volume_g2_50,CTD_D_vdw_volume_g2_75,CTD_D_vdw_volume_g2_100,CTD_D_vdw_volume_g3_0,CTD_D_vdw_volume_g3_25,CTD_D_vdw_volume_g3_50,CTD_D_vdw_volume_g3_75,CTD_D_vdw_volume_g3_100,CTD_D_polarity_g1_0,CTD_D_polarity_g1_25,CTD_D_polarity_g1_50,CTD_D_polarity_g1_75,CTD_D_polarity_g1_100,CTD_D_polarity_g2_0,CTD_D_polarity_g2_25,CTD_D_polarity_g2_50,CTD_D_polarity_g2_75,CTD_D_polarity_g2_100,CTD_D_polarity_g3_0,CTD_D_polarity_g3_25,CTD_D_polarity_g3_50,CTD_D_polarity_g3_75,CTD_D_polarity_g3_100,CTD_D_polarizability_g1_0,CTD_D_polarizability_g1_25,CTD_D_polarizability_g1_50,CTD_D_polarizability_g1_75,CTD_D_polarizability_g1_100,CTD_D_polarizability_g2_0,CTD_D_polarizability_g2_25,CTD_D_polarizability_g2_50,CTD_D_polarizability_g2_75,CTD_D_polarizability_g2_100,CTD_D_polarizability_g3_0,CTD_D_polarizability_g3_25,CTD_D_polarizability_g3_50,CTD_D_polarizability_g3_75,CTD_D_polarizability_g3_100,CTD_D_charge_g1_0,CTD_D_charge_g1_25,CTD_D_charge_g1_50,CTD_D_charge_g1_75,CTD_D_charge_g1_100,CTD_D_charge_g2_0,CTD_D_charge_g2_25,CTD_D_charge_g2_50,CTD_D_charge_g2_75,CTD_D_charge_g2_100,CTD_D_charge_g3_0,CTD_D_charge_g3_25,CTD_D_charge_g3_50,CTD_D_charge_g3_75,CTD_D_charge_g3_100,CTD_D_secondary_structure_g1_0,CTD_D_secondary_structure_g1_25,CTD_D_secondary_structure_g1_50,CTD_D_secondary_structure_g1_75,CTD_D_secondary_structure_g1_100,CTD_D_secondary_structure_g2_0,CTD_D_secondary_structure_g2_25,CTD_D_secondary_structure_g2_50,CTD_D_secondary_structure_g2_75,CTD_D_secondary_structure_g2_100,CTD_D_secondary_structure_g3_0,CTD_D_secondary_structure_g3_25,CTD_D_secondary_structure_g3_50,CTD_D_secondary_structure_g3_75,CTD_D_secondary_structure_g3_100,CTD_D_solvent_accessibility_g1_0,CTD_D_solvent_accessibility_g1_25,CTD_D_solvent_accessibility_g1_50,CTD_D_solvent_accessibility_g1_75,CTD_D_solvent_accessibility_g1_100,CTD_D_solvent_accessibility_g2_0,CTD_D_solvent_accessibility_g2_25,CTD_D_solvent_accessibility_g2_50,CTD_D_solvent_accessibility_g2_75,CTD_D_solvent_accessibility_g2_100,CTD_D_solvent_accessibility_g3_0,CTD_D_solvent_accessibility_g3_25,CTD_D_solvent_accessibility_g3_50,CTD_D_solvent_accessibility_g3_75,CTD_D_solvent_accessibility_g3_100
Negative_F1839,0.264706,0.338235,0.397059,0.382353,0.397059,0.220588,0.397059,0.338235,0.264706,0.352941,0.426471,0.220588,0.132353,0.823529,0.044118,0.514706,0.308824,0.176471,0.632353,0.264706,0.102941,0.179104,0.179104,0.373134,0.417910,0.164179,0.164179,0.373134,0.179104,0.179104,0.417910,0.164179,0.164179,0.208955,0.029851,0.029851,0.328358,0.194030,0.089552,0.328358,0.164179,0.029851,10.294118,17.647059,42.647059,66.176471,94.117647,2.941176,29.411765,54.411765,80.882353,100.000000,1.470588,23.529412,52.941176,79.411765,98.529412,2.941176,26.470588,51.470588,80.882353,100.000000,1.470588,27.941176,55.882353,79.411765,98.529412,11.764706,20.588235,42.647059,60.294118,89.705882,1.470588,23.529412,52.941176,79.411765,98.529412,2.941176,29.411765,54.411765,80.882353,100.000000,10.294118,17.647059,42.647059,66.176471,94.117647,2.941176,26.470588,51.470588,75.000000,100.000000,1.470588,27.941176,55.882353,79.411765,98.529412,11.764706,20.588235,42.647059,60.294118,89.705882,11.764706,35.294118,42.647059,58.823529,70.588235,1.470588,26.470588,54.411765,79.411765,100.000000,16.176471,16.176471,17.647059,48.529412,48.529412,1.470588,35.294118,50.000000,75.000000,98.529412,5.882353,25.000000,52.941176,76.470588,95.588235,2.941176,10.294118,29.411765,73.529412,100.000000,1.470588,27.941176,55.882353,80.882353,98.529412,10.294118,17.647059,42.647059,66.176471,94.117647,4.411765,23.529412,29.411765,72.058824,100.000000
Negative_F1590,0.153846,0.307692,0.538462,0.307692,0.307692,0.384615,0.538462,0.307692,0.153846,0.307692,0.307692,0.384615,0.153846,0.846154,0.000000,0.307692,0.461538,0.230769,0.692308,0.153846,0.153846,0.166667,0.166667,0.333333,0.250000,0.250000,0.333333,0.333333,0.166667,0.166667,0.250000,0.250000,0.333333,0.333333,0.000000,0.000000,0.333333,0.166667,0.166667,0.250000,0.250000,0.083333,23.076923,23.076923,23.076923,76.923077,76.923077,30.769231,30.769231,53.846154,61.538462,84.615385,7.692308,15.384615,46.153846,92.307692,100.000000,30.769231,30.769231,53.846154,61.538462,84.615385,7.692308,7.692308,38.461538,69.230769,92.307692,15.384615,23.076923,46.153846,76.923077,100.000000,7.692308,15.384615,46.153846,92.307692,100.000000,30.769231,30.769231,53.846154,61.538462,84.615385,23.076923,23.076923,23.076923,76.923077,76.923077,30.769231,30.769231,53.846154,61.538462,84.615385,7.692308,7.692308,38.461538,69.230769,92.307692,15.384615,23.076923,46.153846,76.923077,100.000000,23.076923,23.076923,23.076923,76.923077,76.923077,7.692308,30.769231,53.846154,84.615385,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.076923,23.076923,30.769231,76.923077,92.307692,7.692308,15.384615,38.461538,69.230769,100.000000,53.846154,53.846154,61.538462,84.615385,84.615385,7.692308,30.769231,46.153846,69.230769,100.000000,23.076923,23.076923,23.076923,76.923077,76.923077,53.846154,53.846154,53.846154,84.615385,84.615385
Negative_F1789,0.309859,0.394366,0.295775,0.394366,0.239437,0.366197,0.338028,0.323944,0.338028,0.281690,0.352113,0.366197,0.211268,0.760563,0.028169,0.380282,0.394366,0.225352,0.338028,0.309859,0.352113,0.300000,0.128571,0.228571,0.157143,0.342857,0.200000,0.242857,0.171429,0.285714,0.185714,0.257143,0.285714,0.314286,0.000000,0.057143,0.214286,0.200000,0.142857,0.185714,0.228571,0.242857,2.816901,35.211268,61.971831,78.873239,98.591549,1.408451,21.126761,42.253521,64.788732,95.774648,8.450704,29.577465,54.929577,80.281690,100.000000,1.408451,14.084507,42.253521,60.563380,95.774648,8.450704,39.436620,56.338028,87.323944,100.000000,2.816901,29.577465,57.746479,77.464789,97.183099,8.450704,26.760563,47.887324,80.281690,100.000000,1.408451,21.126761,43.661972,64.788732,95.774648,2.816901,23.943662,61.971831,77.464789,98.591549,1.408451,9.859155,42.253521,59.154930,94.366197,8.450704,28.169014,54.929577,83.098592,100.000000,2.816901,29.577465,57.746479,77.464789,97.183099,2.816901,35.211268,66.197183,78.873239,97.183099,1.408451,25.352113,46.478873,73.239437,100.000000,7.042254,7.042254,7.042254,39.436620,39.436620,2.816901,35.211268,66.197183,84.507042,100.000000,1.408451,19.718310,42.253521,69.014085,94.366197,4.225352,9.859155,36.619718,49.295775,95.774648,4.225352,26.760563,53.521127,70.422535,100.000000,2.816901,35.211268,61.971831,78.873239,98.591549,1.408451,22.535211,42.253521,71.830986,95.774648
Negative_F1515,0.043478,0.521739,0.434783,0.260870,0.347826,0.391304,0.434783,0.260870,0.304348,0.260870,0.347826,0.391304,0.043478,0.956522,0.000000,0.391304,0.347826,0.260870,0.608696,0.043478,0.347826,0.090909,0.000000,0.500000,0.227273,0.227273,0.318182,0.272727,0.227273,0.181818,0.227273,0.227273,0.318182,0.090909,0.000000,0.000000,0.318182,0.272727,0.181818,0.045455,0.454545,0.045455,60.869565,60.869565,60.869565,60.869565,60.869565,13.043478,30.434783,56.521739,78.260870,100.000000,4.347826,21.739130,39.130435,69.565217,86.956522,30.434783,34.782609,47.826087,78.260870,95.652174,8.695652,21.739130,39.130435,69.565217,86.956522,4.347826,17.391304,60.869565,73.913043,100.000000,4.347826,21.739130,39.130435,69.565217,86.956522,30.434783,34.782609,47.826087,78.260870,95.652174,13.043478,17.391304,65.217391,91.304348,100.000000,30.434783,34.782609,47.826087,78.260870,95.652174,8.695652,21.739130,39.130435,69.565217,86.956522,4.347826,17.391304,60.869565,73.913043,100.000000,60.869565,60.869565,60.869565,60.869565,60.869565,4.347826,26.086957,47.826087,78.260870,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.043478,39.130435,65.217391,82.608696,100.000000,4.347826,8.695652,26.086957,52.173913,86.956522,30.434783,34.782609,47.826087,78.260870,95.652174,4.347826,26.086957,39.130435,69.565217,95.652174,60.869565,60.869565,60.869565,60.869565,60.869565,13.043478,17.391304,65.217391,78.260870,100.000000
Negative_F1041,0.200000,0.400000,0.400000,0.566667,0.266667,0.166667,0.400000,0.400000,0.200000,0.400000,0.433333,0.166667,0.166667,0.833333,0.000000,0.266667,0.533333,0.200000,0.500000,0.200000,0.300000,0.172414,0.206897,0.344828,0.379310,0.206897,0.103448,0.344828,0.206897,0.172414,0.379310,0.137931,0.172414,0.310345,0.000000,0.000000,0.344828,0.068966,0.206897,0.241379,0.413793,0.137931,16.666667,30.000000,40.000000,93.333333,100.000000,3.333333,20.000000,43.333333,76.666667,90.000000,10.000000,26.666667,50.000000,70.000000,96.666667,3.333333,36.666667,63.333333,80.000000,96.666667,10.000000,13.333333,33.333333,60.000000,93.333333,16.666667,30.000000,40.000000,53.333333,100.000000,10.000000,26.666667,50.000000,70.000000,96.666667,3.333333,20.000000,43.333333,76.666667,90.000000,16.666667,30.000000,40.000000,93.333333,100.000000,3.333333,20.000000,43.333333,76.666667,90.000000,10.000000,33.333333,60.000000,73.333333,96.666667,16.666667,30.000000,40.000000,53.333333,100.000000,16.666667,30.000000,40.000000,53.333333,100.000000,3.333333,26.666667,56.666667,76.666667,96.666667,0.000000,0.000000,0.000000,0.000000,0.000000,3.333333,16.666667,40.000000,53.333333,100.000000,10.000000,23.333333,50.000000,70.000000,96.666667,6.666667,36.666667,80.000000,90.000000,93.333333,3.333333,26.666667,50.000000,73.333333,96.666667,16.666667,30.000000,40.000000,93.333333,100.000000,6.666667,23.333333,56.666667,76.666667,90.000000
Negative_F2183,0.058824,0.411765,0.529412,0.411765,0.529412,0.058824,0.529412,0.411765,0.058824,0.352941,0.588235,0.058824,0.058824,0.941176,0.000000,0.411765,0.235294,0.352941,0.882353,0.058824,0.058824,0.125000,0.000000,0.500000,0.500000,0.125000,0.000000,0.500000,0.000000,0.125000,0.500000,0.125000,0.000000,0.125000,0.000000,0.000000,0.125000,0.312500,0.187500,0.125000,0.125000,0.000000,64.705882,64.705882,64.705882,64.705882,64.705882,17.647059,23.529412,58.823529,82.352941,88.235294,5.882353,29.411765,47.058824,76.470588,100.000000,17.647059,23.529412,58.823529,82.352941,88.235294,5.882353,29.411765,47.058824,76.470588,100.000000,64.705882,64.705882,64.705882,64.705882,64.705882,5.882353,29.411765,47.058824,76.470588,100.000000,17.647059,23.529412,58.823529,82.352941,88.235294,64.705882,64.705882,64.705882,64.705882,64.705882,17.647059,41.176471,58.823529,82.352941,88.235294,5.882353,23.529412,35.294118,76.470588,100.000000,64.705882,64.705882,64.705882,64.705882,64.705882,64.705882,64.705882,64.705882,64.705882,64.705882,5.882353,23.529412,47.058824,76.470588,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,35.294118,47.058824,70.588235,94.117647,100.000000,5.882353,5.882353,11.764706,29.411765,52.941176,17.647059,23.529412,41.176471,82.352941,88.235294,5.882353,29.411765,52.941176,82.352941,100.000000,64.705882,64.705882,64.705882,64.705882,64.705882,23.529412,23.529412,23.529412,23.529412,23.529412
Negative_F1299,0.333333,0.200000,0.466667,0.200000,0.400000,0.400000,0.466667,0.200000,0.333333,0.133333,0.466667,0.400000,0.200000,0.800000,0.000000,0.266667,0.400000,0.333333,0.533333,0.333333,0.133333,0.214286,0.142857,0.214286,0.142857,0.285714,0.285714,0.214286,0.142857,0.214286,0.142857,0.142857,0.428571,0.214286,0.000000,0.000000,0.071429,0.285714,0.285714,0.214286,0.142857,0.142857,33.333333,40.000000,46.666667,66.666667,100.000000,26.666667,26.666667,73.333333,93.333333,93.333333,6.666667,13.333333,53.333333,80.000000,86.666667,26.666667,26.666667,73.333333,93.333333,93.333333,13.333333,46.666667,53.333333,66.666667,80.000000,6.666667,20.000000,33.333333,86.666667,100.000000,6.666667,13.333333,53.333333,80.000000,86.666667,26.666667,26.666667,73.333333,93.333333,93.333333,33.333333,40.000000,46.666667,66.666667,100.000000,73.333333,73.333333,73.333333,93.333333,93.333333,13.333333,26.666667,53.333333,66.666667,80.000000,6.666667,20.000000,33.333333,86.666667,100.000000,33.333333,33.333333,40.000000,100.000000,100.000000,6.666667,20.000000,53.333333,73.333333,93.333333,0.000000,0.000000,0.000000,0.000000,0.000000,33.333333,33.333333,40.000000,80.000000,100.000000,6.666667,13.333333,20.000000,60.000000,86.666667,26.666667,46.666667,66.666667,73.333333,93.333333,6.666667,13.333333,53.333333,80.000000,93.333333,33.333333,40.000000,46.666667,66.666667,100.000000,26.666667,26.666667,26.666667,73.333333,73.333333
Negative_F224,0.130435,0.347826,0.521739,0.173913,0.391304,0.434783,0.521739,0.173913,0.304348,0.173913,0.391304,0.434783,0.043478,0.956522,0.000000,0.304348,0.478261,0.217391,0.652174,0.130435,0.217391,0.090909,0.181818,0.363636,0.136364,0.227273,0.545455,0.181818,0.363636,0.181818,0.136364,0.227273,0.545455,0.090909,0.000000,0.000000,0.363636,0.181818,0.181818,0.272727,0.272727,0.000000,13.043478,13.043478,30.434783,60.869565,60.869565,26.086957,43.478261,56.521739,78.260870,91.304348,4.347826,17.391304,39.130435,69.565217,100.000000,26.086957,26.086957,56.521739,78.260870,86.956522,4.347826,21.739130,39.130435,60.869565,95.652174,8.695652,30.434783,47.826087,82.608696,100.000000,4.347826,17.391304,39.130435,69.565217,100.000000,26.086957,26.086957,56.521739,78.260870,86.956522,13.043478,30.434783,47.826087,73.913043,91.304348,26.086957,26.086957,56.521739,78.260870,86.956522,4.347826,21.739130,39.130435,60.869565,95.652174,8.695652,30.434783,47.826087,82.608696,100.000000,30.434783,30.434783,30.434783,30.434783,30.434783,4.347826,26.086957,52.173913,78.260870,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.043478,21.739130,43.478261,73.913043,91.304348,4.347826,17.391304,52.173913,82.608696,100.000000,26.086957,56.521739,60.869565,78.260870,86.956522,4.347826,21.739130,52.173913,78.260870,100.000000,13.043478,13.043478,30.434783,60.869565,60.869565,43.478261,47.826087,73.913043,86.956522,91.304348
Negative_F2017,0.500000,0.500000,0.000000,0.500000,0.043478,0.456522,0.000000,0.500000,0.500000,0.391304,0.152174,0.456522,0.456522,0.521739,0.021739,0.760870,0.043478,0.195652,0.347826,0.500000,0.152174,0.466667,0.000000,0.000000,0.066667,0.400000,0.022222,0.000000,0.000000,0.466667,0.133333,0.244444,0.177778,0.422222,0.000000,0.044444,0.088889,0.355556,0.000000,0.244444,0.088889,0.222222,8.695652,34.782609,54.347826,80.434783,100.000000,2.173913,19.565217,39.130435,69.565217,95.652174,0.000000,0.000000,0.000000,0.000000,0.000000,2.173913,19.565217,39.130435,69.565217,95.652174,23.913043,23.913043,23.913043,45.652174,45.652174,8.695652,41.304348,60.869565,80.434783,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.173913,19.565217,39.130435,69.565217,95.652174,8.695652,34.782609,54.347826,80.434783,100.000000,2.173913,19.565217,39.130435,69.565217,95.652174,10.869565,23.913043,36.956522,56.521739,78.260870,8.695652,41.304348,60.869565,80.434783,100.000000,8.695652,41.304348,60.869565,80.434783,100.000000,2.173913,19.565217,39.130435,67.391304,95.652174,23.913043,23.913043,23.913043,23.913043,23.913043,2.173913,26.086957,52.173913,80.434783,100.000000,6.521739,6.521739,6.521739,47.826087,47.826087,10.869565,30.434783,56.521739,69.565217,86.956522,2.173913,19.565217,39.130435,69.565217,95.652174,8.695652,34.782609,54.347826,80.434783,100.000000,6.521739,10.869565,36.956522,56.521739,78.260870
Negative_F850,0.375000,0.333333,0.291667,0.375000,0.375000,0.250000,0.291667,0.333333,0.375000,0.375000,0.375000,0.250000,0.208333,0.750000,0.041667,0.458333,0.291667,0.250000,0.541667,0.375000,0.083333,0.217391,0.260870,0.173913,0.260870,0.217391,0.217391,0.173913,0.260870,0.217391,0.260870,0.217391,0.217391,0.304348,0.043478,0.043478,0.304348,0.260870,0.130435,0.391304,0.086957,0.086957,12.500000,29.166667,50.000000,83.333333,100.000000,4.166667,33.333333,41.666667,75.000000,91.666667,8.333333,20.833333,54.166667,70.833333,87.500000,4.166667,33.333333,41.666667,75.000000,91.666667,8.333333,54.166667,70.833333,87.500000,100.000000,12.500000,20.833333,29.166667,50.000000,62.500000,8.333333,20.833333,54.166667,70.833333,87.500000,4.166667,33.333333,41.666667,75.000000,91.666667,12.500000,29.166667,50.000000,83.333333,100.000000,4.166667,33.333333,41.666667,75.000000,91.666667,8.333333,54.166667,70.833333,87.500000,100.000000,12.500000,20.833333,29.166667,50.000000,62.500000,12.500000,29.166667,45.833333,50.000000,62.500000,4.166667,33.333333,58.333333,83.333333,100.000000,16.666667,16.666667,16.666667,16.666667,16.666667,12.500000,37.500000,50.000000,75.000000,100.000000,8.333333,20.833333,58.333333,70.833333,87.500000,4.166667,16.666667,33.333333,83.333333,95.833333,4.166667,25.000000,41.666667,70.833333,91.666667,12.500000,29.166667,50.000000,83.333333,100.000000,66.666667,66.666667,66.666667,79.166667,79.166667
