ID,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
Negative_F230,0.022222,0.133333,0.000000,0.044444,0.000000,0.111111,0.000000,0.066667,0.133333,0.066667,0.000000,0.022222,0.022222,0.044444,0.155556,0.044444,0.044444,0.044444,0.000000,0.044444
Negative_F589,0.000000,0.000000,0.000000,0.041667,0.041667,0.041667,0.000000,0.083333,0.166667,0.166667,0.083333,0.041667,0.000000,0.041667,0.041667,0.083333,0.000000,0.041667,0.125000,0.000000
Negative_F2297,0.153846,0.000000,0.000000,0.000000,0.076923,0.153846,0.000000,0.000000,0.000000,0.307692,0.000000,0.076923,0.000000,0.000000,0.076923,0.076923,0.000000,0.076923,0.000000,0.000000
Negative_F1161,0.071429,0.000000,0.071429,0.000000,0.000000,0.071429,0.000000,0.142857,0.142857,0.214286,0.071429,0.071429,0.000000,0.000000,0.000000,0.000000,0.000000,0.071429,0.071429,0.000000
Negative_F2329,0.090909,0.113636,0.034091,0.056818,0.011364,0.056818,0.000000,0.045455,0.045455,0.079545,0.022727,0.056818,0.034091,0.022727,0.022727,0.079545,0.125000,0.056818,0.034091,0.011364
Negative_F2331,0.058480,0.035088,0.029240,0.040936,0.058480,0.035088,0.017544,0.087719,0.122807,0.134503,0.029240,0.023392,0.011696,0.064327,0.058480,0.093567,0.035088,0.029240,0.011696,0.023392
Negative_F2333,0.000000,0.156250,0.000000,0.031250,0.031250,0.062500,0.000000,0.062500,0.062500,0.093750,0.000000,0.031250,0.031250,0.062500,0.031250,0.125000,0.125000,0.062500,0.031250,0.000000
Negative_F1466,0.082192,0.054795,0.013699,0.041096,0.000000,0.041096,0.027397,0.082192,0.109589,0.082192,0.013699,0.082192,0.068493,0.068493,0.027397,0.082192,0.054795,0.068493,0.000000,0.000000
Negative_F1468,0.068493,0.054795,0.000000,0.041096,0.000000,0.054795,0.027397,0.082192,0.095890,0.095890,0.013699,0.082192,0.054795,0.082192,0.027397,0.068493,0.068493,0.082192,0.000000,0.000000
Negative_F1471,0.054795,0.054795,0.027397,0.054795,0.041096,0.054795,0.000000,0.109589,0.164384,0.054795,0.027397,0.068493,0.054795,0.027397,0.068493,0.041096,0.013699,0.068493,0.000000,0.013699
