ID,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
Positive_1708,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_1579,0.117647,0.294118,0.000000,0.000000,0.000000,0.000000,0.000000,0.117647,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.294118,0.176471,0.000000,0.000000,0.000000
Positive_1364,0.131579,0.000000,0.052632,0.000000,0.026316,0.131579,0.000000,0.105263,0.052632,0.078947,0.026316,0.000000,0.052632,0.052632,0.184211,0.000000,0.000000,0.078947,0.026316,0.000000
Positive_1214,0.095238,0.000000,0.000000,0.000000,0.285714,0.095238,0.095238,0.000000,0.238095,0.000000,0.000000,0.000000,0.000000,0.000000,0.095238,0.000000,0.000000,0.000000,0.095238,0.000000
Positive_1052,0.333333,0.000000,0.083333,0.000000,0.000000,0.166667,0.000000,0.083333,0.000000,0.083333,0.000000,0.000000,0.083333,0.000000,0.083333,0.000000,0.000000,0.083333,0.000000,0.000000
Positive_1161,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_1644,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.166667,0.166667,0.000000,0.000000
Positive_1187,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.166667,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_1226,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.320000,0.400000,0.000000,0.000000,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,0.000000
Positive_1369,0.363636,0.000000,0.000000,0.000000,0.000000,0.136364,0.000000,0.090909,0.181818,0.090909,0.045455,0.000000,0.000000,0.000000,0.000000,0.045455,0.000000,0.045455,0.000000,0.000000
Positive_1051,0.000000,0.000000,0.000000,0.000000,0.000000,0.200000,0.000000,0.200000,0.000000,0.200000,0.000000,0.000000,0.000000,0.200000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_1392,0.000000,0.000000,0.000000,0.000000,0.040000,0.000000,0.000000,0.160000,0.120000,0.080000,0.080000,0.000000,0.000000,0.160000,0.040000,0.040000,0.080000,0.120000,0.040000,0.040000
Positive_1049,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.333333,0.000000,0.333333,0.000000,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_1220,0.230769,0.000000,0.000000,0.230769,0.000000,0.076923,0.076923,0.000000,0.230769,0.000000,0.000000,0.000000,0.076923,0.000000,0.000000,0.076923,0.000000,0.000000,0.000000,0.000000
Positive_1634,0.027778,0.083333,0.041667,0.055556,0.097222,0.111111,0.055556,0.027778,0.111111,0.027778,0.013889,0.000000,0.041667,0.069444,0.041667,0.013889,0.055556,0.083333,0.000000,0.041667
Positive_1178,0.000000,0.000000,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.250000,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.250000,0.000000,0.000000
Positive_NA13,0.138889,0.000000,0.000000,0.055556,0.027778,0.138889,0.000000,0.111111,0.194444,0.055556,0.027778,0.055556,0.027778,0.000000,0.055556,0.000000,0.000000,0.083333,0.027778,0.000000
Positive_1125,0.060606,0.181818,0.030303,0.000000,0.000000,0.090909,0.030303,0.030303,0.030303,0.090909,0.000000,0.060606,0.060606,0.090909,0.060606,0.000000,0.000000,0.121212,0.000000,0.060606
Positive_1238,0.280000,0.000000,0.000000,0.000000,0.000000,0.000000,0.080000,0.000000,0.320000,0.240000,0.000000,0.000000,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,0.000000
Positive_1170,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_1062,0.321429,0.000000,0.000000,0.000000,0.000000,0.035714,0.000000,0.000000,0.214286,0.214286,0.000000,0.035714,0.000000,0.000000,0.000000,0.000000,0.035714,0.107143,0.035714,0.000000
Positive_1047,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.333333,0.333333,0.000000,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_1499,0.142857,0.000000,0.000000,0.057143,0.028571,0.114286,0.000000,0.114286,0.200000,0.057143,0.028571,0.057143,0.028571,0.000000,0.057143,0.000000,0.000000,0.085714,0.028571,0.000000
Positive_1236,0.280000,0.000000,0.000000,0.000000,0.000000,0.000000,0.080000,0.000000,0.320000,0.240000,0.000000,0.000000,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,0.000000
Positive_1012,0.214286,0.142857,0.000000,0.000000,0.000000,0.000000,0.071429,0.000000,0.000000,0.214286,0.000000,0.000000,0.142857,0.000000,0.071429,0.000000,0.000000,0.142857,0.000000,0.000000
Positive_1040,0.409091,0.090909,0.136364,0.000000,0.000000,0.090909,0.272727,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_1281,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_1173,0.000000,0.000000,0.000000,0.000000,0.300000,0.000000,0.000000,0.000000,0.100000,0.100000,0.000000,0.100000,0.100000,0.100000,0.000000,0.000000,0.000000,0.100000,0.000000,0.100000
Positive_1158,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
Positive_1403,0.000000,0.000000,0.000000,0.000000,0.142857,0.142857,0.000000,0.071429,0.428571,0.071429,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.071429,0.071429,0.000000
Positive_1258,0.500000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_1038,0.333333,0.111111,0.111111,0.000000,0.000000,0.222222,0.222222,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_1404,0.000000,0.000000,0.000000,0.000000,0.142857,0.071429,0.000000,0.071429,0.285714,0.071429,0.000000,0.000000,0.142857,0.000000,0.000000,0.000000,0.000000,0.071429,0.142857,0.000000
Positive_1175,0.000000,0.000000,0.000000,0.000000,0.200000,0.000000,0.000000,0.000000,0.100000,0.100000,0.000000,0.100000,0.100000,0.100000,0.000000,0.000000,0.000000,0.100000,0.100000,0.100000
Positive_1171,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000
Positive_1182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.090909,0.000000,0.000000,0.363636,0.000000,0.454545,0.000000,0.000000,0.000000,0.000000,0.090909
Positive_1681,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_1074,0.111111,0.123457,0.049383,0.037037,0.049383,0.086420,0.000000,0.049383,0.061728,0.061728,0.024691,0.024691,0.012346,0.024691,0.061728,0.049383,0.061728,0.061728,0.000000,0.049383
Positive_1370,0.307692,0.000000,0.000000,0.000000,0.000000,0.000000,0.153846,0.000000,0.153846,0.384615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_1383,0.000000,0.333333,0.000000,0.000000,0.166667,0.166667,0.000000,0.000000,0.000000,0.000000,0.166667,0.000000,0.000000,0.000000,0.000000,0.000000,0.166667,0.000000,0.000000,0.000000
Positive_1528,0.000000,0.000000,0.000000,0.000000,0.384615,0.000000,0.000000,0.076923,0.076923,0.076923,0.000000,0.000000,0.230769,0.000000,0.153846,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_1744,0.053333,0.080000,0.026667,0.080000,0.013333,0.106667,0.040000,0.053333,0.133333,0.040000,0.080000,0.066667,0.013333,0.040000,0.026667,0.026667,0.053333,0.026667,0.013333,0.026667
Positive_1377,0.181818,0.000000,0.000000,0.000000,0.090909,0.000000,0.181818,0.000000,0.181818,0.318182,0.000000,0.000000,0.045455,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_NA11,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_1642,0.142857,0.000000,0.000000,0.000000,0.000000,0.071429,0.000000,0.000000,0.000000,0.285714,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.285714,0.214286,0.000000
Positive_1532,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000
Positive_1636,0.019608,0.117647,0.058824,0.039216,0.078431,0.137255,0.058824,0.039216,0.117647,0.019608,0.019608,0.000000,0.039216,0.078431,0.000000,0.000000,0.058824,0.078431,0.000000,0.039216
Positive_1622,0.022727,0.181818,0.045455,0.090909,0.000000,0.113636,0.022727,0.000000,0.068182,0.045455,0.000000,0.022727,0.045455,0.000000,0.090909,0.113636,0.022727,0.045455,0.045455,0.022727
Positive_1145,0.111111,0.000000,0.000000,0.000000,0.000000,0.000000,0.111111,0.166667,0.111111,0.166667,0.000000,0.000000,0.000000,0.055556,0.222222,0.055556,0.000000,0.000000,0.000000,0.000000
Positive_1033,0.321429,0.000000,0.000000,0.000000,0.000000,0.035714,0.000000,0.000000,0.142857,0.214286,0.035714,0.071429,0.000000,0.000000,0.000000,0.000000,0.035714,0.107143,0.035714,0.000000
Positive_NA14,0.125000,0.150000,0.050000,0.000000,0.025000,0.150000,0.025000,0.025000,0.050000,0.050000,0.000000,0.075000,0.000000,0.000000,0.075000,0.075000,0.025000,0.075000,0.000000,0.025000
