ID,PseAAC_lambda1,PseAAC_lambda2,PseAAC_lambda3,PseAAC_lambda4,PseAAC_lambda5
Positive_NA7,0.047064,0.072418,0.017327,0.000000,0.000000
Positive_NA9,0.139528,0.209293,0.020817,0.000000,0.000000
Positive_NA12,0.062603,0.056320,0.064225,0.042320,0.078881
Positive_1711,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_NA16,0.084072,0.085732,0.054024,0.066667,0.085405
Positive_1045,0.094316,0.168883,0.000000,0.000000,0.000000
Positive_1046,0.034682,0.004925,0.000000,0.000000,0.000000
Positive_1050,0.130575,0.235191,0.000000,0.000000,0.000000
Positive_1657,0.013848,0.031910,0.032964,0.029339,0.028149
Positive_1660,0.015710,0.032415,0.033636,0.036032,0.034918
Positive_1662,0.020529,0.041118,0.043996,0.024730,0.022553
Positive_1405,0.078856,0.082791,0.071723,0.103811,0.108353
Positive_1527,0.107624,0.112911,0.070265,0.050718,0.112226
Positive_1177,0.074099,0.080261,0.045901,0.069438,0.100751
Positive_1179,0.081804,0.070043,0.081111,0.062491,0.089649
Positive_1381,0.035493,0.011355,0.023400,0.024083,0.019414
Positive_1385,0.032175,0.038779,0.034186,0.001657,0.022397
Positive_1578,0.080118,0.126498,0.081822,0.047665,0.078359
Positive_1623,0.067642,0.077977,0.074814,0.052829,0.069307
Positive_1371,0.055464,0.071031,0.075695,0.044852,0.050803
Positive_1373,0.051642,0.063507,0.043581,0.055297,0.051015
Positive_1374,0.041866,0.036752,0.021239,0.036829,0.040484
Positive_1375,0.058804,0.073246,0.041282,0.061613,0.054541
Positive_1389,0.064342,0.045860,0.064997,0.051602,0.072943
Positive_1391,0.077874,0.061600,0.082321,0.074481,0.082498
Positive_1162,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_1163,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_1234,0.059647,0.087063,0.079730,0.066223,0.086407
