ID,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
Positive_NA7,0.000000,0.000000,0.000000,0.000000,0.250000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000
Positive_NA9,0.000000,0.000000,0.000000,0.000000,0.500000,0.000000,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_NA12,0.030303,0.181818,0.000000,0.000000,0.000000,0.121212,0.000000,0.000000,0.060606,0.060606,0.030303,0.030303,0.090909,0.060606,0.090909,0.060606,0.060606,0.121212,0.000000,0.000000
Positive_1711,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_NA16,0.131579,0.000000,0.000000,0.052632,0.026316,0.131579,0.000000,0.105263,0.184211,0.052632,0.026316,0.052632,0.052632,0.000000,0.052632,0.000000,0.000000,0.105263,0.026316,0.000000
Positive_1045,0.000000,0.000000,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000
Positive_1046,0.333333,0.000000,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000
Positive_1050,0.000000,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_1657,0.000000,0.000000,0.000000,0.000000,0.222222,0.000000,0.000000,0.222222,0.000000,0.222222,0.000000,0.000000,0.222222,0.000000,0.000000,0.000000,0.000000,0.111111,0.000000,0.000000
Positive_1660,0.000000,0.000000,0.000000,0.000000,0.111111,0.000000,0.000000,0.222222,0.000000,0.222222,0.000000,0.000000,0.222222,0.000000,0.000000,0.000000,0.000000,0.111111,0.000000,0.111111
Positive_1662,0.000000,0.000000,0.000000,0.000000,0.333333,0.000000,0.000000,0.222222,0.000000,0.111111,0.000000,0.000000,0.222222,0.000000,0.000000,0.000000,0.000000,0.111111,0.000000,0.000000
Positive_1405,0.000000,0.000000,0.000000,0.000000,0.285714,0.071429,0.000000,0.071429,0.142857,0.071429,0.000000,0.000000,0.142857,0.000000,0.142857,0.000000,0.000000,0.071429,0.000000,0.000000
Positive_1527,0.214286,0.000000,0.000000,0.000000,0.000000,0.000000,0.071429,0.000000,0.285714,0.214286,0.000000,0.000000,0.000000,0.000000,0.142857,0.000000,0.000000,0.000000,0.071429,0.000000
Positive_1177,0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,0.000000,0.000000,0.100000,0.100000,0.000000,0.100000,0.100000,0.100000,0.000000,0.000000,0.000000,0.100000,0.200000,0.100000
Positive_1179,0.000000,0.000000,0.000000,0.000000,0.128205,0.025641,0.000000,0.025641,0.000000,0.051282,0.000000,0.000000,0.487179,0.000000,0.256410,0.000000,0.000000,0.000000,0.000000,0.025641
Positive_1381,0.166667,0.166667,0.000000,0.000000,0.000000,0.000000,0.000000,0.166667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.166667,0.166667,0.166667,0.000000,0.000000
Positive_1385,0.000000,0.333333,0.000000,0.000000,0.000000,0.166667,0.000000,0.333333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.166667,0.000000,0.000000,0.000000
Positive_1578,0.000000,0.037037,0.037037,0.000000,0.037037,0.074074,0.000000,0.148148,0.222222,0.111111,0.037037,0.000000,0.000000,0.000000,0.148148,0.037037,0.074074,0.037037,0.000000,0.000000
Positive_1623,0.022727,0.181818,0.045455,0.090909,0.000000,0.113636,0.045455,0.045455,0.090909,0.045455,0.022727,0.022727,0.045455,0.000000,0.045455,0.090909,0.000000,0.022727,0.045455,0.022727
Positive_1371,0.307692,0.000000,0.000000,0.000000,0.000000,0.000000,0.153846,0.000000,0.153846,0.384615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_1373,0.272727,0.000000,0.000000,0.000000,0.000000,0.000000,0.181818,0.000000,0.181818,0.363636,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_1374,0.363636,0.000000,0.000000,0.000000,0.000000,0.000000,0.181818,0.000000,0.000000,0.454545,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_1375,0.227273,0.000000,0.000000,0.000000,0.090909,0.000000,0.181818,0.000000,0.181818,0.318182,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_1389,0.098039,0.078431,0.019608,0.098039,0.000000,0.098039,0.019608,0.039216,0.019608,0.058824,0.039216,0.019608,0.098039,0.039216,0.078431,0.058824,0.058824,0.058824,0.000000,0.019608
Positive_1391,0.000000,0.000000,0.000000,0.125000,0.041667,0.125000,0.000000,0.000000,0.208333,0.083333,0.083333,0.083333,0.000000,0.000000,0.083333,0.125000,0.000000,0.041667,0.000000,0.000000
Positive_1162,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_1163,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000
Positive_1234,0.280000,0.000000,0.000000,0.000000,0.000000,0.000000,0.080000,0.000000,0.320000,0.240000,0.000000,0.000000,0.040000,0.000000,0.000000,0.000000,0.000000,0.000000,0.040000,0.000000
