ID,Length,NetCharge,pI,K_frac,R_frac,H_frac,D_frac,E_frac,GRAVY,HydrophobicFrac,AromaticFrac,BomanIndex
Positive_NA7,4.000000,-0.408426,6.740161,0.000000,0.000000,0.250000,0.000000,0.000000,-0.825000,0.500000,0.500000,0.455000
Positive_NA9,4.000000,1.554922,11.000837,0.250000,0.250000,0.000000,0.000000,0.000000,-0.700000,0.500000,0.500000,3.627500
Positive_NA12,33.000000,4.405346,9.216094,0.060606,0.090909,0.000000,0.000000,0.000000,0.057576,0.242424,0.000000,1.330909
Positive_1711,2.000000,-0.442547,5.525000,0.000000,0.000000,0.000000,0.000000,0.000000,2.800000,1.000000,1.000000,-2.980000
Positive_NA16,38.000000,6.269541,10.728780,0.184211,0.052632,0.000000,0.000000,0.052632,-0.007895,0.473684,0.052632,0.750000
Positive_1045,3.000000,0.520645,8.720010,0.333333,0.000000,0.000000,0.000000,0.000000,-0.033333,0.333333,0.000000,0.190000
Positive_1046,3.000000,-0.392198,5.570017,0.000000,0.000000,0.000000,0.000000,0.000000,1.866667,0.666667,0.000000,-2.263333
Positive_1050,3.000000,0.557428,9.750021,0.000000,0.333333,0.000000,0.000000,0.000000,0.700000,0.666667,0.333333,2.340000
Positive_1657,9.000000,-0.442547,5.525000,0.000000,0.000000,0.000000,0.000000,0.000000,2.577778,0.777778,0.222222,-3.297778
Positive_1660,9.000000,-0.445053,5.524318,0.000000,0.000000,0.000000,0.000000,0.000000,2.122222,0.777778,0.222222,-2.951111
Positive_1662,9.000000,-0.442547,5.525000,0.000000,0.000000,0.000000,0.000000,0.000000,2.466667,0.777778,0.333333,-3.082222
Positive_1405,14.000000,3.552391,11.999968,0.142857,0.142857,0.000000,0.000000,0.000000,0.235714,0.500000,0.285714,1.014286
Positive_1527,14.000000,5.584007,11.999968,0.285714,0.142857,0.071429,0.000000,0.000000,-0.850000,0.500000,0.071429,2.441429
Positive_1177,10.000000,0.518140,8.561482,0.100000,0.000000,0.000000,0.000000,0.000000,-0.480000,0.600000,0.400000,0.127000
Positive_1179,39.000000,9.554696,11.999968,0.000000,0.256410,0.000000,0.000000,0.000000,-1.307692,0.230769,0.153846,3.044615
Positive_1381,6.000000,-0.416701,5.561548,0.000000,0.000000,0.000000,0.000000,0.000000,1.916667,0.500000,0.000000,-1.013333
Positive_1385,6.000000,-0.491554,5.511416,0.000000,0.000000,0.000000,0.000000,0.000000,2.150000,0.333333,0.000000,-1.795000
Positive_1578,27.000000,8.518262,11.604777,0.222222,0.148148,0.000000,0.037037,0.000000,-0.262963,0.370370,0.037037,2.343333
Positive_1623,44.000000,-0.572523,6.864411,0.090909,0.045455,0.045455,0.045455,0.090909,-0.511364,0.227273,0.068182,1.794091
Positive_1371,26.000000,3.693936,10.477805,0.153846,0.000000,0.153846,0.000000,0.000000,0.923077,0.692308,0.000000,-0.878462
Positive_1373,22.000000,3.693936,10.477805,0.181818,0.000000,0.181818,0.000000,0.000000,0.581818,0.636364,0.000000,-0.426364
Positive_1374,22.000000,-0.245692,7.137181,0.000000,0.000000,0.181818,0.000000,0.000000,1.800000,0.818182,0.000000,-2.047273
Positive_1375,22.000000,3.693936,10.477805,0.181818,0.000000,0.181818,0.000000,0.000000,0.581818,0.636364,0.090909,-0.391364
Positive_1389,51.000000,-1.537298,5.644135,0.019608,0.078431,0.019608,0.019608,0.098039,-0.325490,0.313725,0.019608,1.728235
Positive_1391,24.000000,3.548237,10.166422,0.208333,0.083333,0.000000,0.000000,0.125000,-1.300000,0.250000,0.041667,3.213333
Positive_1162,1.000000,-0.442547,5.525000,0.000000,0.000000,0.000000,0.000000,0.000000,2.800000,1.000000,1.000000,-2.980000
Positive_1163,1.000000,-0.476849,5.494989,0.000000,0.000000,0.000000,0.000000,0.000000,4.200000,1.000000,0.000000,-4.040000
Positive_1234,25.000000,7.610661,10.845339,0.320000,0.000000,0.080000,0.000000,0.000000,-0.188000,0.560000,0.040000,0.368000
