ID,Label,AAC_A,AAC_C,AAC_F,AAC_G,AAC_I,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,Length,NetCharge,pI,K_frac,R_frac,H_frac,D_frac,E_frac,GRAVY,HydrophobicFrac,AromaticFrac,BomanIndex
Positive_1708,1,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.557428,9.750021,0.0,0.5,0.0,0.0,0.0,-0.85,0.5,0.5,5.97
Positive_1579,1,0.117647,0.294118,0.0,0.0,0.117647,0.0,0.0,0.0,0.0,0.0,0.294118,0.176471,0.0,0.0,0.0,17.0,-0.565064,5.492488,0.0,0.0,0.0,0.0,0.0,1.117647,0.235294,0.0,0.285294
Positive_1364,1,0.131579,0.0,0.026316,0.131579,0.105263,0.078947,0.026316,0.0,0.052632,0.052632,0.0,0.0,0.078947,0.026316,0.0,38.0,6.280594,11.999968,0.052632,0.184211,0.0,0.052632,0.0,-0.097368,0.473684,0.052632,2.002368
Positive_1214,1,0.095238,0.0,0.285714,0.095238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.095238,0.0,21.0,6.618128,11.999968,0.238095,0.095238,0.095238,0.0,0.0,-0.814286,0.47619,0.380952,1.850952
Positive_1052,1,0.333333,0.0,0.0,0.166667,0.083333,0.083333,0.0,0.0,0.083333,0.0,0.0,0.0,0.083333,0.0,0.0,12.0,-0.391776,5.88121,0.0,0.083333,0.0,0.083333,0.0,0.775,0.583333,0.0,0.053333
Positive_1161,1,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-0.442547,5.525,0.0,0.0,0.0,0.0,0.0,1.2,0.5,0.5,-1.96
Positive_1644,1,0.333333,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,0.0,0.0,6.0,-0.441204,5.55342,0.0,0.0,0.0,0.0,0.0,2.016667,0.5,0.0,-1.275
Positive_1187,1,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.478906,9.157363,0.333333,0.166667,0.0,0.0,0.0,-0.8,0.0,0.0,3.696667
Positive_1226,1,0.2,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0,25.0,7.537408,10.845339,0.32,0.0,0.0,0.0,0.0,0.532,0.64,0.04,-0.6472
Positive_1369,1,0.363636,0.0,0.0,0.136364,0.090909,0.090909,0.045455,0.0,0.0,0.0,0.045455,0.0,0.045455,0.0,0.0,22.0,3.54743,10.47774,0.181818,0.0,0.0,0.0,0.0,0.886364,0.636364,0.0,-0.807727
Positive_1051,1,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,5.0,0.557428,9.750021,0.0,0.2,0.0,0.0,0.0,-0.02,0.4,0.0,1.936
Positive_1392,1,0.0,0.0,0.04,0.0,0.16,0.08,0.08,0.0,0.0,0.16,0.04,0.08,0.12,0.04,0.04,25.0,3.513103,10.461494,0.12,0.04,0.0,0.0,0.0,0.408,0.56,0.12,0.4304
Positive_1049,1,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.284863,9.500077,0.0,0.333333,0.0,0.0,0.0,-1.4,0.333333,0.0,4.19
Positive_1220,1,0.230769,0.0,0.0,0.076923,0.0,0.0,0.0,0.0,0.076923,0.0,0.076923,0.0,0.0,0.0,0.0,13.0,-0.301247,6.860262,0.230769,0.0,0.076923,0.0,0.230769,-1.753846,0.230769,0.0,2.982308
Positive_1634,1,0.027778,0.083333,0.097222,0.111111,0.027778,0.027778,0.013889,0.0,0.041667,0.069444,0.013889,0.055556,0.083333,0.0,0.041667,72.0,3.535124,8.816132,0.111111,0.041667,0.055556,0.041667,0.055556,-0.459722,0.319444,0.138889,1.625694
Positive_1178,1,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,8.0,-0.476849,5.494989,0.0,0.0,0.0,0.0,0.0,2.3,0.75,0.25,-2.985
Positive_NA13,1,0.138889,0.0,0.027778,0.138889,0.111111,0.055556,0.027778,0.055556,0.027778,0.0,0.0,0.0,0.083333,0.027778,0.0,36.0,6.542105,10.728974,0.194444,0.055556,0.0,0.0,0.055556,-0.080556,0.472222,0.055556,0.903889
Positive_1125,1,0.060606,0.181818,0.0,0.090909,0.030303,0.090909,0.0,0.060606,0.060606,0.090909,0.0,0.0,0.121212,0.0,0.060606,33.0,1.490288,8.345513,0.030303,0.060606,0.030303,0.030303,0.0,0.218182,0.363636,0.060606,0.878485
Positive_1238,1,0.28,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.04,0.0,25.0,7.610661,10.845339,0.32,0.0,0.08,0.0,0.0,-0.188,0.56,0.04,0.368
