ID,PseAAC_lambda1,PseAAC_lambda2,PseAAC_lambda3,PseAAC_lambda4,PseAAC_lambda5
Positive_1708,0.279489,0.000000,0.000000,0.000000,0.000000
Positive_1579,0.013826,0.014119,0.015437,0.019358,0.017115
Positive_1364,0.093327,0.097340,0.066643,0.069832,0.091163
Positive_1214,0.090003,0.130076,0.063184,0.067589,0.127551
Positive_1052,0.058142,0.030601,0.059153,0.068293,0.069587
Positive_1161,0.157704,0.000000,0.000000,0.000000,0.000000
Positive_1644,0.017638,0.006142,0.022127,0.012283,0.020189
Positive_1187,0.111663,0.075366,0.039946,0.097532,0.000000
Positive_1226,0.051968,0.083906,0.075880,0.090596,0.089361
Positive_1369,0.070029,0.072427,0.052687,0.053496,0.062840
Positive_1051,0.086595,0.119125,0.140190,0.060593,0.000000
Positive_1392,0.081058,0.052405,0.061118,0.068608,0.053339
Positive_1049,0.093264,0.196301,0.000000,0.000000,0.000000
Positive_1220,0.055967,0.054943,0.047747,0.069628,0.063790
Positive_1634,0.071270,0.074246,0.065899,0.054779,0.064996
Positive_1178,0.033408,0.035595,0.030356,0.000000,0.035104
Positive_NA13,0.086700,0.081305,0.053734,0.066310,0.085454
Positive_1125,0.063217,0.064960,0.059655,0.061159,0.055711
Positive_1238,0.072506,0.095852,0.072894,0.051897,0.053335
Positive_1170,0.157704,0.000000,0.000000,0.000000,0.000000
Positive_1062,0.066137,0.091419,0.066998,0.026515,0.069064
Positive_1047,0.150354,0.036231,0.000000,0.000000,0.000000
Positive_1499,0.087573,0.083458,0.051236,0.068171,0.084662
Positive_1236,0.065058,0.091506,0.073122,0.054941,0.077384
Positive_1012,0.037071,0.043252,0.046062,0.042636,0.054235
Positive_1040,0.052771,0.063219,0.040985,0.052448,0.054866
Positive_1281,0.216384,0.000000,0.000000,0.000000,0.000000
Positive_1173,0.066912,0.063932,0.032732,0.058040,0.085743
Positive_1158,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_1403,0.094999,0.095663,0.069040,0.070205,0.091431
Positive_1258,0.115626,0.000000,0.000000,0.000000,0.000000
Positive_1038,0.048695,0.072388,0.041628,0.034940,0.057117
Positive_1404,0.086983,0.073430,0.069359,0.089998,0.097305
Positive_1175,0.073796,0.069590,0.044425,0.062639,0.095390
Positive_1171,0.047051,0.000000,0.000000,0.000000,0.000000
Positive_1182,0.064473,0.068803,0.074778,0.096043,0.117945
Positive_1681,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_1074,0.065060,0.061494,0.066600,0.063141,0.062984
Positive_1370,0.049519,0.058094,0.042447,0.049616,0.050415
Positive_1383,0.033485,0.060920,0.036107,0.008378,0.049073
Positive_1528,0.073841,0.060676,0.081776,0.103686,0.067181
Positive_1744,0.065944,0.066490,0.064480,0.058316,0.065028
Positive_1377,0.057077,0.071593,0.038021,0.059535,0.053361
Positive_NA11,0.126070,0.189105,0.000000,0.000000,0.000000
Positive_1642,0.047082,0.034073,0.024344,0.061477,0.034821
Positive_1532,0.019678,0.000000,0.000000,0.000000,0.000000
Positive_1636,0.064881,0.060565,0.062756,0.054836,0.063189
Positive_1622,0.072997,0.077090,0.077485,0.056668,0.073654
Positive_1145,0.061588,0.066884,0.101296,0.075003,0.122837
Positive_1033,0.053135,0.076685,0.052699,0.029988,0.070386
Positive_NA14,0.065373,0.069204,0.057208,0.070274,0.066663
Positive_1664,0.023879,0.023249,0.030044,0.039227,0.040309
Positive_NA15,0.064433,0.101806,0.053210,0.044440,0.082853
Positive_1379,0.057077,0.071593,0.038021,0.059535,0.053361
Positive_1185,0.113194,0.060907,0.091181,0.065604,0.169926
Positive_1246,0.075774,0.081389,0.049390,0.062188,0.078122
Positive_1706,0.064583,0.062351,0.063610,0.044267,0.080837
Positive_1222,0.044390,0.049183,0.041816,0.044714,0.050082
Positive_1647,0.009857,0.013099,0.016675,0.012364,0.020322
Positive_1257,0.147557,0.000000,0.000000,0.000000,0.000000
Positive_1228,0.051891,0.077959,0.090016,0.085565,0.096206
Positive_NA8,0.043602,0.022748,0.042143,0.000000,0.000000
Positive_1230,0.052074,0.077347,0.086021,0.081275,0.097677
Positive_1372,0.064889,0.086427,0.071325,0.056459,0.048334
Positive_1490,0.054844,0.017320,0.053191,0.038674,0.059639
Positive_1378,0.051642,0.063507,0.043581,0.055297,0.051015
Positive_NA4,0.079336,0.064136,0.083661,0.119717,0.125845
Positive_1380,0.053067,0.044803,0.059384,0.033794,0.062349
Positive_NA1,0.078172,0.077692,0.102903,0.084127,0.059807
Positive_1283,0.045138,0.000000,0.000000,0.000000,0.000000
Positive_1635,0.081990,0.099356,0.071042,0.062079,0.071298
Positive_1608,0.026485,0.053514,0.053667,0.053981,0.092332
Positive_1665,0.019639,0.035529,0.033808,0.029520,0.028483
Positive_1205,0.095480,0.128938,0.049703,0.061414,0.135205
Positive_1492,0.074140,0.091052,0.066735,0.061227,0.066616
Positive_1186,0.077336,0.057455,0.103450,0.091346,0.172784
Positive_NA6,0.055451,0.036310,0.103033,0.066498,0.206461
Positive_1666,0.024417,0.040770,0.039360,0.032178,0.024645
Positive_1249,0.077779,0.089332,0.067248,0.061106,0.071544
Positive_1224,0.051297,0.079845,0.081991,0.096909,0.086535
Positive_1039,0.051286,0.064151,0.040692,0.047918,0.053845
Positive_1661,0.027400,0.042283,0.045196,0.041115,0.044357
Positive_1251,0.070447,0.066407,0.050018,0.059662,0.067449
Positive_1172,0.040158,0.055840,0.026297,0.038207,0.066270
Positive_NA10,0.083266,0.124900,0.059134,0.000000,0.000000
Positive_NA2,0.086314,0.097866,0.037260,0.077345,0.108520
Positive_1362,0.079341,0.074793,0.043654,0.058823,0.089535
Positive_1067,0.063420,0.087282,0.061958,0.025931,0.066830
Positive_1054,0.106390,0.128413,0.055137,0.078513,0.121523
Positive_1174,0.051073,0.064276,0.042295,0.052099,0.062383
Positive_1347,0.044946,0.052605,0.029036,0.042538,0.049362
Positive_1073,0.080017,0.122649,0.072905,0.030957,0.066369
Positive_1048,0.156276,0.166575,0.000000,0.000000,0.000000
Positive_1105,0.119142,0.238284,0.000000,0.000000,0.000000
Positive_1882,0.086933,0.089091,0.059195,0.079110,0.095930
Positive_1160,0.047051,0.000000,0.000000,0.000000,0.000000
Positive_1176,0.052031,0.077309,0.043965,0.061217,0.077866
Positive_1232,0.061517,0.089605,0.070747,0.073329,0.084907
Positive_NA5,0.093301,0.074880,0.232484,0.000000,0.000000
Positive_1883,0.087512,0.090553,0.050249,0.059980,0.097051
Positive_NA3,0.071215,0.065893,0.063882,0.082235,0.098411
Positive_1032,0.067261,0.088001,0.070357,0.048876,0.076453
Positive_1165,0.186470,0.000000,0.000000,0.000000,0.000000
Positive_1044,0.090215,0.096035,0.066392,0.068380,0.089911
Positive_1055,0.077970,0.066610,0.080740,0.062416,0.064597
Positive_1531,0.055127,0.000000,0.000000,0.000000,0.000000
Positive_1398,0.097536,0.104162,0.081061,0.091929,0.121716
Positive_1159,0.045138,0.000000,0.000000,0.000000,0.000000
Positive_1376,0.049481,0.061321,0.043281,0.057352,0.047057
Positive_1146,0.068995,0.072663,0.078695,0.051195,0.065757
