ID,Length,NetCharge,pI,K_frac,R_frac,H_frac,D_frac,E_frac,GRAVY,HydrophobicFrac,AromaticFrac,BomanIndex
Negative_F1839,68.000000,5.491064,9.835764,0.117647,0.014706,0.000000,0.014706,0.029412,0.622059,0.558824,0.073529,0.043235
Negative_F1590,13.000000,1.552442,10.002737,0.153846,0.000000,0.000000,0.000000,0.000000,1.076923,0.615385,0.230769,-0.986154
Negative_F1789,71.000000,12.152501,10.224444,0.140845,0.070423,0.028169,0.014085,0.014085,-0.739437,0.295775,0.126761,2.205493
Negative_F1515,23.000000,0.774706,8.789958,0.043478,0.000000,0.260870,0.000000,0.000000,0.591304,0.434783,0.086957,-0.343043
Negative_F1041,30.000000,4.472757,9.265864,0.166667,0.000000,0.000000,0.000000,0.000000,0.540000,0.300000,0.000000,0.573333
Negative_F2183,17.000000,0.554947,8.750052,0.058824,0.000000,0.000000,0.000000,0.000000,1.805882,0.588235,0.000000,-2.557647
Negative_F1299,15.000000,2.552417,11.166263,0.133333,0.066667,0.000000,0.000000,0.000000,0.240000,0.466667,0.200000,0.876000
Negative_F224,23.000000,0.669631,9.748474,0.000000,0.043478,0.173913,0.000000,0.000000,0.752174,0.521739,0.217391,0.021739
Negative_F2017,46.000000,19.558786,11.218031,0.434783,0.021739,0.000000,0.000000,0.021739,-1.715217,0.260870,0.000000,2.563696
Negative_F850,24.000000,3.545371,10.176866,0.208333,0.000000,0.000000,0.041667,0.000000,-0.145833,0.458333,0.041667,0.882083
Negative_F562,21.000000,5.500779,10.851786,0.000000,0.285714,0.000000,0.000000,0.000000,-0.071429,0.571429,0.238095,2.611905
Negative_F285,14.000000,1.503435,8.903745,0.142857,0.000000,0.000000,0.000000,0.000000,1.350000,0.500000,0.285714,-1.116429
Negative_F585,24.000000,0.601853,8.541110,0.125000,0.000000,0.000000,0.041667,0.041667,-0.225000,0.500000,0.041667,1.072917
Negative_F2053,20.000000,1.552442,10.002737,0.100000,0.000000,0.000000,0.000000,0.000000,1.035000,0.550000,0.100000,-0.942500
Negative_F335,32.000000,4.240700,10.602164,0.156250,0.000000,0.000000,0.000000,0.000000,1.156250,0.562500,0.000000,-1.156250
Negative_F649,38.000000,4.580141,10.295295,0.131579,0.026316,0.026316,0.000000,0.026316,-0.310526,0.342105,0.026316,0.834211
Negative_F1706,76.000000,-1.423804,6.107600,0.078947,0.052632,0.026316,0.052632,0.092105,-0.486842,0.328947,0.013158,2.040000
Negative_F21,17.000000,0.589515,8.598358,0.117647,0.000000,0.058824,0.058824,0.000000,1.052941,0.529412,0.058824,-0.474706
Negative_F566,37.000000,5.281010,11.000063,0.135135,0.135135,0.027027,0.027027,0.081081,-0.681081,0.378378,0.108108,2.809459
Negative_F885,23.000000,5.547380,11.999968,0.173913,0.086957,0.000000,0.000000,0.000000,0.747826,0.565217,0.086957,0.040000
Negative_F334,29.000000,5.238195,10.699060,0.206897,0.000000,0.000000,0.000000,0.000000,0.668966,0.551724,0.000000,-0.615517
Negative_F140,31.000000,6.405246,9.802885,0.000000,0.225806,0.000000,0.000000,0.000000,-0.200000,0.290323,0.161290,3.012581
Negative_F1715,12.000000,1.527938,9.314086,0.166667,0.000000,0.000000,0.000000,0.000000,0.691667,0.416667,0.083333,-0.430000
Negative_F908,13.000000,2.505890,9.695868,0.076923,0.153846,0.000000,0.000000,0.000000,0.361538,0.384615,0.153846,1.652308
Negative_F740,41.000000,7.398622,9.766074,0.073171,0.170732,0.000000,0.048780,0.000000,-1.151220,0.243902,0.146341,3.331220
