ID,Length,NetCharge,pI,K_frac,R_frac,H_frac,D_frac,E_frac,GRAVY,HydrophobicFrac,AromaticFrac,BomanIndex
Positive_1708,2.000000,0.557428,9.750021,0.000000,0.500000,0.000000,0.000000,0.000000,-0.850000,0.500000,0.500000,5.970000
Positive_1579,17.000000,-0.565064,5.492488,0.000000,0.000000,0.000000,0.000000,0.000000,1.117647,0.235294,0.000000,0.285294
Positive_1364,38.000000,6.280594,11.999968,0.052632,0.184211,0.000000,0.052632,0.000000,-0.097368,0.473684,0.052632,2.002368
Positive_1214,21.000000,6.618128,11.999968,0.238095,0.095238,0.095238,0.000000,0.000000,-0.814286,0.476190,0.380952,1.850952
Positive_1052,12.000000,-0.391776,5.881210,0.000000,0.083333,0.000000,0.083333,0.000000,0.775000,0.583333,0.000000,0.053333
Positive_1161,2.000000,-0.442547,5.525000,0.000000,0.000000,0.000000,0.000000,0.000000,1.200000,0.500000,0.500000,-1.960000
Positive_1644,6.000000,-0.441204,5.553420,0.000000,0.000000,0.000000,0.000000,0.000000,2.016667,0.500000,0.000000,-1.275000
Positive_1187,6.000000,2.478906,9.157363,0.333333,0.166667,0.000000,0.000000,0.000000,-0.800000,0.000000,0.000000,3.696667
Positive_1226,25.000000,7.537408,10.845339,0.320000,0.000000,0.000000,0.000000,0.000000,0.532000,0.640000,0.040000,-0.647200
Positive_1369,22.000000,3.547430,10.477740,0.181818,0.000000,0.000000,0.000000,0.000000,0.886364,0.636364,0.000000,-0.807727
Positive_1051,5.000000,0.557428,9.750021,0.000000,0.200000,0.000000,0.000000,0.000000,-0.020000,0.400000,0.000000,1.936000
Positive_1392,25.000000,3.513103,10.461494,0.120000,0.040000,0.000000,0.000000,0.000000,0.408000,0.560000,0.120000,0.430400
Positive_1049,3.000000,0.284863,9.500077,0.000000,0.333333,0.000000,0.000000,0.000000,-1.400000,0.333333,0.000000,4.190000
Positive_1220,13.000000,-0.301247,6.860262,0.230769,0.000000,0.076923,0.000000,0.230769,-1.753846,0.230769,0.000000,2.982308
Positive_1634,72.000000,3.535124,8.816132,0.111111,0.041667,0.055556,0.041667,0.055556,-0.459722,0.319444,0.138889,1.625694
Positive_1178,8.000000,-0.476849,5.494989,0.000000,0.000000,0.000000,0.000000,0.000000,2.300000,0.750000,0.250000,-2.985000
Positive_NA13,36.000000,6.542105,10.728974,0.194444,0.055556,0.000000,0.000000,0.055556,-0.080556,0.472222,0.055556,0.903889
Positive_1125,33.000000,1.490288,8.345513,0.030303,0.060606,0.030303,0.030303,0.000000,0.218182,0.363636,0.060606,0.878485
Positive_1238,25.000000,7.610661,10.845339,0.320000,0.000000,0.080000,0.000000,0.000000,-0.188000,0.560000,0.040000,0.368000
Positive_1170,2.000000,-0.442547,5.525000,0.000000,0.000000,0.000000,0.000000,0.000000,1.200000,0.500000,0.500000,-1.960000
Positive_1062,28.000000,5.592769,10.699383,0.214286,0.000000,0.000000,0.000000,0.000000,0.810714,0.678571,0.035714,-0.667500
Positive_1047,3.000000,0.554947,8.750052,0.333333,0.000000,0.000000,0.000000,0.000000,-0.966667,0.333333,0.000000,2.056667
Positive_1499,35.000000,6.542105,10.728974,0.200000,0.057143,0.000000,0.000000,0.057143,-0.071429,0.485714,0.057143,0.956571
Positive_1236,25.000000,7.610661,10.845339,0.320000,0.000000,0.080000,0.000000,0.000000,-0.188000,0.560000,0.040000,0.368000
Positive_1012,14.000000,0.545047,8.081644,0.000000,0.071429,0.071429,0.000000,0.000000,1.378571,0.571429,0.000000,-0.803571
Positive_1040,22.000000,-3.270456,5.982043,0.000000,0.000000,0.272727,0.136364,0.000000,-0.422727,0.409091,0.000000,1.517727
Positive_1281,2.000000,0.554947,8.750052,0.500000,0.000000,0.000000,0.000000,0.000000,-0.550000,0.500000,0.500000,1.285000
Positive_1173,10.000000,0.518140,8.561482,0.100000,0.000000,0.000000,0.000000,0.000000,0.260000,0.600000,0.400000,-0.003000
Positive_1158,2.000000,-0.476849,5.494989,0.000000,0.000000,0.000000,0.000000,0.000000,4.200000,1.000000,0.000000,-4.040000
Positive_1403,14.000000,5.542419,10.699318,0.428571,0.000000,0.000000,0.000000,0.000000,-0.500000,0.428571,0.214286,0.660714
Positive_1258,2.000000,-0.442547,5.525000,0.000000,0.000000,0.000000,0.000000,0.000000,2.300000,1.000000,0.500000,-2.395000
Positive_1038,9.000000,-1.393351,5.968060,0.000000,0.000000,0.222222,0.111111,0.000000,-0.311111,0.333333,0.000000,1.050000
Positive_1404,14.000000,3.547430,10.477740,0.285714,0.000000,0.000000,0.000000,0.000000,-0.207143,0.500000,0.285714,-0.231429
Positive_1175,10.000000,0.518140,8.561482,0.100000,0.000000,0.000000,0.000000,0.000000,-0.110000,0.600000,0.400000,0.062000
Positive_1171,2.000000,-0.476849,5.494989,0.000000,0.000000,0.000000,0.000000,0.000000,1.900000,0.500000,0.000000,-2.490000
Positive_1182,11.000000,4.554822,11.999968,0.000000,0.454545,0.000000,0.000000,0.000000,-2.400000,0.181818,0.090909,6.347273
Positive_1681,3.000000,-0.442547,5.525000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.400000,0.000000,0.000000,-0.940000
Positive_1074,81.000000,2.022327,8.354023,0.061728,0.061728,0.000000,0.049383,0.037037,0.214815,0.407407,0.098765,1.139012
Positive_1370,26.000000,3.693936,10.477805,0.153846,0.000000,0.153846,0.000000,0.000000,0.923077,0.692308,0.000000,-0.878462
Positive_1383,6.000000,-0.491554,5.511416,0.000000,0.000000,0.000000,0.000000,0.000000,1.433333,0.333333,0.166667,-1.043333
