ID,PseAAC_lambda1,PseAAC_lambda2,PseAAC_lambda3,PseAAC_lambda4,PseAAC_lambda5
Negative_F1839,0.064266,0.069499,0.058217,0.060500,0.065727
Negative_F1590,0.075061,0.115896,0.063526,0.039706,0.097221
Negative_F1789,0.069182,0.069682,0.064894,0.072932,0.077006
Negative_F1515,0.049457,0.063852,0.052408,0.045204,0.060114
Negative_F1041,0.053206,0.055553,0.043000,0.039992,0.052929
Negative_F2183,0.046394,0.056235,0.043448,0.036893,0.051058
Negative_F1299,0.053300,0.082834,0.093141,0.078965,0.057751
Negative_F224,0.071528,0.074611,0.059592,0.038755,0.080067
Negative_F2017,0.052598,0.085205,0.073866,0.047643,0.052016
Negative_F850,0.066500,0.100960,0.071433,0.045938,0.075530
Negative_F562,0.103699,0.073587,0.101336,0.106394,0.103984
Negative_F285,0.063259,0.081424,0.045432,0.057766,0.066370
Negative_F585,0.062159,0.098498,0.058067,0.036437,0.066769
Negative_F2053,0.050790,0.069723,0.043139,0.040518,0.075041
Negative_F335,0.056029,0.069835,0.052458,0.040111,0.067198
Negative_F649,0.061401,0.069634,0.050379,0.056660,0.070234
Negative_F1706,0.060351,0.069216,0.058291,0.054911,0.071715
Negative_F21,0.060354,0.092234,0.056716,0.040875,0.074250
Negative_F566,0.079035,0.100029,0.074496,0.060749,0.098404
Negative_F885,0.083226,0.087626,0.056899,0.077926,0.086119
Negative_F334,0.060548,0.076322,0.058043,0.052448,0.080133
Negative_F140,0.067795,0.082519,0.083547,0.089007,0.077640
Negative_F1715,0.056454,0.046805,0.057970,0.034942,0.062637
Negative_F908,0.074241,0.070870,0.036452,0.093767,0.078879
Negative_F740,0.105146,0.061243,0.088216,0.078781,0.069441
Negative_F1842,0.070139,0.057027,0.055434,0.072299,0.060185
Negative_F517,0.047528,0.069546,0.046396,0.038412,0.067406
Negative_F408,0.056081,0.071605,0.053957,0.047084,0.043502
Negative_F2113,0.061036,0.080971,0.074504,0.055374,0.047010
Negative_F1430,0.069591,0.062461,0.067011,0.068929,0.063895
Negative_F2354,0.064739,0.066548,0.048760,0.063108,0.057378
Negative_F953,0.066949,0.075873,0.085947,0.073877,0.072182
Negative_F1857,0.063563,0.064455,0.058137,0.058352,0.069357
Negative_F2349,0.076927,0.069330,0.067053,0.067407,0.075271
Negative_F2216,0.045058,0.049206,0.039890,0.039943,0.041361
