ID,PseAAC_lambda1,PseAAC_lambda2,PseAAC_lambda3,PseAAC_lambda4,PseAAC_lambda5
Negative_F230,0.073634,0.076509,0.066573,0.068346,0.079974
Negative_F589,0.075105,0.064788,0.071959,0.075336,0.082740
Negative_F2297,0.064073,0.081191,0.054014,0.028047,0.076766
Negative_F1161,0.084050,0.090948,0.041309,0.080273,0.071902
Negative_F2329,0.059349,0.057024,0.050367,0.052884,0.057093
Negative_F2331,0.070574,0.076287,0.066541,0.064947,0.065151
Negative_F2333,0.054658,0.050493,0.048509,0.040746,0.039628
Negative_F1466,0.056096,0.063490,0.052484,0.053792,0.053394
Negative_F1468,0.058961,0.062784,0.053285,0.051238,0.053012
Negative_F1471,0.070125,0.071123,0.057995,0.082906,0.070747
Negative_F2339,0.073637,0.068537,0.102226,0.123658,0.108325
Negative_F2346,0.068096,0.075952,0.073945,0.074647,0.088312
Negative_F1479,0.070847,0.076213,0.066634,0.070275,0.081381
Negative_F2347,0.049562,0.054371,0.047181,0.049021,0.046879
Negative_F2366,0.065148,0.077397,0.065789,0.066810,0.067759
Negative_F2369,0.103306,0.099158,0.069394,0.079639,0.098521
Negative_F2097,0.057583,0.065013,0.054793,0.067860,0.062738
Negative_F2381,0.060967,0.066645,0.034958,0.065490,0.066360
Negative_F769,0.040543,0.043465,0.043441,0.050669,0.036440
Negative_F841,0.091351,0.105002,0.106554,0.065083,0.045675
Negative_F2405,0.069374,0.081783,0.058286,0.070667,0.061162
Negative_F1514,0.061425,0.071533,0.058045,0.061697,0.059893
Negative_F357,0.080544,0.123141,0.123705,0.051550,0.037218
Negative_F12,0.075401,0.111281,0.052171,0.038074,0.108297
Negative_F2418,0.059823,0.069989,0.064406,0.062276,0.067586
Negative_F2420,0.067777,0.056866,0.071009,0.063010,0.074390
Negative_F2421,0.069010,0.076414,0.060337,0.072312,0.074172
Negative_F2425,0.079118,0.086605,0.064005,0.081432,0.080906
Negative_F2429,0.067070,0.054099,0.062926,0.067832,0.059162
Negative_F2433,0.058288,0.074138,0.061596,0.051157,0.053266
Negative_F2447,0.045397,0.063824,0.036468,0.032269,0.058148
Negative_F1485,0.060766,0.058316,0.057821,0.065286,0.060908
Negative_F172,0.099962,0.104113,0.105607,0.074508,0.081237
Negative_F175,0.103360,0.096338,0.106749,0.070206,0.086005
Negative_F325,0.054791,0.081667,0.038557,0.021657,0.068208
Negative_F503,0.037238,0.050635,0.020496,0.025885,0.043632
Negative_F948,0.074617,0.084270,0.056630,0.058580,0.066517
Negative_F2299,0.042101,0.074904,0.073778,0.057912,0.066454
Negative_F2416,0.058139,0.074874,0.057477,0.041707,0.065427
Negative_F1605,0.050685,0.066573,0.031053,0.024467,0.061650
Negative_F2142,0.077309,0.114223,0.086469,0.069397,0.083295
Negative_F2186,0.063493,0.096966,0.060948,0.039813,0.067533
Negative_F1925,0.058000,0.080001,0.041469,0.022553,0.059141
Negative_F1926,0.081862,0.056865,0.067445,0.096879,0.041869
Negative_F75,0.080995,0.065231,0.081716,0.066971,0.077627
Negative_F358,0.048802,0.059835,0.043880,0.040727,0.051049
Negative_F506,0.044708,0.070546,0.063525,0.053382,0.064026
Negative_F556,0.068013,0.066626,0.081507,0.063393,0.064920
Negative_F578,0.065053,0.068973,0.065311,0.059330,0.062001
Negative_F628,0.054423,0.062086,0.061764,0.060773,0.068431
Negative_F701,0.069687,0.071844,0.071545,0.071756,0.084763
Negative_F718,0.071800,0.069976,0.075413,0.071652,0.078305
Negative_F723,0.053447,0.072185,0.072868,0.062559,0.052993
Negative_F964,0.067382,0.058287,0.066951,0.061415,0.067436
Negative_F1095,0.072072,0.085403,0.063955,0.059073,0.084926
Negative_F1100,0.061043,0.076395,0.064127,0.057923,0.044541
Negative_F1187,0.088446,0.085269,0.059832,0.054171,0.100682
Negative_F1277,0.037354,0.028269,0.028466,0.034860,0.031216
Negative_F1375,0.043698,0.027630,0.046128,0.042747,0.046938
Negative_F1424,0.065484,0.067213,0.071793,0.067570,0.067293
Negative_F1436,0.069210,0.063043,0.065808,0.067352,0.066388
Negative_F1606,0.069272,0.070864,0.067470,0.068359,0.080530
Negative_F1761,0.067930,0.067136,0.064528,0.065012,0.074388
Negative_F1945,0.073283,0.063188,0.045889,0.060597,0.064801
Negative_F2050,0.047156,0.064794,0.030077,0.024256,0.056636
Negative_F2054,0.080432,0.069293,0.104517,0.068150,0.074588
Negative_F2273,0.069525,0.074441,0.072618,0.076985,0.083787
Negative_F752,0.047106,0.042383,0.058313,0.044171,0.051158
Negative_F777,0.042286,0.040565,0.050577,0.043718,0.050263
Negative_F896,0.056083,0.063974,0.058195,0.057149,0.050741
Negative_F901,0.062152,0.073918,0.064975,0.074114,0.056717
Negative_F1252,0.065284,0.061657,0.063151,0.060642,0.064261
Negative_F1388,0.043951,0.048695,0.058318,0.045906,0.054019
Negative_F1389,0.070458,0.047039,0.067955,0.048713,0.061833
Negative_F1390,0.052530,0.047114,0.052233,0.046579,0.047972
Negative_F1604,0.045101,0.054186,0.029357,0.037273,0.044493
Negative_F1957,0.051520,0.039998,0.054886,0.042781,0.047758
Negative_F1959,0.045987,0.049504,0.058079,0.040190,0.047289
Negative_F485,0.046960,0.062983,0.053545,0.052968,0.061523
Negative_F609,0.077361,0.096316,0.063832,0.065769,0.088732
Negative_F612,0.080120,0.075796,0.056669,0.058451,0.055326
Negative_F1010,0.051798,0.082973,0.050358,0.024203,0.056902
Negative_F1178,0.088349,0.085216,0.080214,0.079905,0.079993
Negative_F1180,0.071124,0.080617,0.095556,0.091141,0.078928
Negative_F1203,0.060827,0.068002,0.034894,0.052945,0.055849
Negative_F1586,0.061777,0.098213,0.065357,0.048726,0.086912
Negative_F2229,0.039223,0.053335,0.049161,0.045410,0.059490
Negative_F2237,0.045192,0.064734,0.044157,0.035601,0.063142
Negative_F232,0.079704,0.078328,0.072859,0.102521,0.084244
Negative_F472,0.061553,0.072443,0.062627,0.041875,0.065583
Negative_F675,0.056435,0.076640,0.051161,0.025902,0.084453
Negative_F1505,0.066874,0.055774,0.071039,0.059243,0.072926
Negative_F1553,0.085933,0.090430,0.060867,0.075530,0.083729
Negative_F1701,0.084158,0.068291,0.036939,0.055682,0.068958
Negative_F2084,0.085256,0.082377,0.079593,0.084787,0.084668
Negative_F2151,0.051502,0.065890,0.068878,0.055469,0.058973
Negative_F2278,0.108793,0.130489,0.068266,0.055303,0.130493
Negative_F2283,0.083109,0.091866,0.075790,0.058722,0.078695
Negative_F1,0.070101,0.085078,0.053546,0.038775,0.076072
Negative_F16,0.057210,0.088109,0.050944,0.042983,0.078436
Negative_F49,0.043926,0.063539,0.039912,0.032580,0.050251
Negative_F88,0.077723,0.080530,0.072572,0.041086,0.074633
Negative_F117,0.082389,0.122595,0.120713,0.053280,0.044507
Negative_F118,0.074137,0.104212,0.095162,0.092391,0.130674
Negative_F151,0.074701,0.073249,0.105538,0.104404,0.111165
Negative_F177,0.073632,0.089035,0.088521,0.096453,0.095680
Negative_F182,0.089129,0.081260,0.095107,0.098843,0.096724
Negative_F184,0.093192,0.089221,0.087481,0.064435,0.077444
Negative_F237,0.057922,0.085890,0.052003,0.046148,0.062223
Negative_F311,0.055363,0.078325,0.069169,0.053802,0.079398
Negative_F313,0.077286,0.075186,0.070275,0.064464,0.069345
Negative_F315,0.079980,0.080616,0.063204,0.064754,0.063158
Negative_F321,0.063712,0.069955,0.070397,0.071309,0.079261
Negative_F323,0.071495,0.078329,0.086242,0.066552,0.051985
Negative_F348,0.064872,0.088961,0.050097,0.051662,0.080862
Negative_F352,0.070056,0.057941,0.062070,0.065301,0.070423
Negative_F366,0.045515,0.068784,0.051283,0.049513,0.075334
Negative_F405,0.046720,0.054121,0.056538,0.059694,0.064458
Negative_F454,0.043136,0.061235,0.066298,0.049917,0.067664
Negative_F521,0.075271,0.086326,0.066491,0.044036,0.068823
Negative_F561,0.026716,0.033721,0.032895,0.042884,0.023170
Negative_F635,0.064755,0.068876,0.066179,0.037424,0.068414
Negative_F644,0.072389,0.072663,0.051373,0.060162,0.081333
Negative_F666,0.053841,0.068492,0.054164,0.023188,0.064889
Negative_F670,0.046778,0.065675,0.041845,0.034102,0.065483
Negative_F682,0.037002,0.053894,0.044032,0.038371,0.060328
Negative_F689,0.080811,0.094923,0.066629,0.042847,0.082722
Negative_F725,0.085238,0.068608,0.081882,0.086351,0.073901
Negative_F729,0.065641,0.077179,0.074907,0.076578,0.068130
Negative_F730,0.073484,0.077014,0.079638,0.072071,0.069625
Negative_F743,0.092930,0.083028,0.061670,0.048778,0.083659
Negative_F859,0.062553,0.072399,0.063080,0.058686,0.067152
Negative_F868,0.054151,0.057130,0.054501,0.064297,0.061442
Negative_F874,0.081308,0.094509,0.077450,0.050737,0.047775
Negative_F878,0.061590,0.071225,0.066907,0.043861,0.065270
Negative_F887,0.071702,0.069425,0.084963,0.072389,0.070940
Negative_F903,0.088728,0.094122,0.088720,0.038836,0.094724
Negative_F916,0.070168,0.088832,0.070729,0.045829,0.076848
Negative_F919,0.072448,0.060434,0.069784,0.050441,0.041254
Negative_F922,0.050845,0.055017,0.046040,0.053296,0.071171
Negative_F977,0.044148,0.052400,0.051360,0.045921,0.059882
Negative_F1040,0.121003,0.079213,0.079066,0.096337,0.074405
Negative_F1070,0.062703,0.064583,0.080469,0.096418,0.086211
Negative_F1078,0.047948,0.078159,0.049524,0.038751,0.071539
Negative_F1087,0.071868,0.071459,0.071651,0.064641,0.085899
Negative_F1115,0.059376,0.075833,0.065226,0.074054,0.062735
Negative_F1116,0.072596,0.077075,0.064501,0.069218,0.058836
Negative_F1164,0.080069,0.100115,0.067877,0.080360,0.093802
Negative_F1183,0.070748,0.116493,0.109731,0.048322,0.054204
Negative_F1207,0.085808,0.087124,0.043353,0.075457,0.085179
Negative_F1224,0.047100,0.075091,0.044205,0.038502,0.064619
Negative_F1294,0.041108,0.048154,0.053004,0.059007,0.065706
Negative_F1296,0.056922,0.056119,0.039837,0.049567,0.055620
Negative_F1300,0.054645,0.060547,0.035140,0.047874,0.051929
Negative_F1302,0.055451,0.066547,0.048899,0.044971,0.064399
Negative_F1303,0.053722,0.061959,0.058802,0.042073,0.060184
Negative_F1313,0.050334,0.062923,0.050002,0.053097,0.072496
Negative_F1314,0.068366,0.062648,0.071854,0.048733,0.070910
Negative_F1357,0.069872,0.068445,0.062233,0.053843,0.067646
Negative_F1359,0.045809,0.063230,0.034523,0.032280,0.053875
Negative_F1363,0.081710,0.080855,0.064158,0.037545,0.088986
Negative_F1420,0.054968,0.067451,0.053509,0.031394,0.065329
Negative_F1455,0.066949,0.071119,0.054156,0.055733,0.067953
Negative_F1464,0.053377,0.057939,0.048246,0.054356,0.052434
Negative_F1487,0.051921,0.054218,0.046836,0.050816,0.047786
Negative_F1495,0.058129,0.075376,0.046935,0.032327,0.062863
Negative_F1498,0.065832,0.064793,0.063144,0.047819,0.069366
Negative_F1516,0.052884,0.088297,0.066869,0.058305,0.094324
Negative_F1529,0.076540,0.071571,0.079808,0.076956,0.082163
Negative_F1531,0.067970,0.070717,0.065350,0.067378,0.067206
Negative_F1555,0.065281,0.063902,0.071936,0.059967,0.059871
Negative_F1576,0.072484,0.072186,0.071355,0.057011,0.097892
Negative_F1596,0.069119,0.081719,0.060922,0.065248,0.071378
Negative_F1600,0.077034,0.058541,0.060371,0.056638,0.060071
