ID,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y
Negative_F1839,0.191176,0.029412,0.014706,0.029412,0.044118,0.058824,0.000000,0.088235,0.117647,0.102941,0.014706,0.044118,0.000000,0.044118,0.014706,0.058824,0.029412,0.088235,0.029412,0.000000
Negative_F1590,0.076923,0.000000,0.000000,0.000000,0.153846,0.076923,0.000000,0.230769,0.153846,0.076923,0.000000,0.000000,0.000000,0.000000,0.000000,0.153846,0.000000,0.000000,0.076923,0.000000
Negative_F1789,0.014085,0.056338,0.014085,0.014085,0.042254,0.028169,0.028169,0.042254,0.140845,0.056338,0.000000,0.014085,0.056338,0.056338,0.070423,0.112676,0.112676,0.056338,0.042254,0.042254
Negative_F1515,0.000000,0.000000,0.000000,0.000000,0.086957,0.173913,0.260870,0.217391,0.043478,0.086957,0.000000,0.000000,0.000000,0.000000,0.000000,0.086957,0.000000,0.043478,0.000000,0.000000
Negative_F1041,0.066667,0.166667,0.000000,0.000000,0.000000,0.033333,0.000000,0.133333,0.166667,0.033333,0.000000,0.033333,0.000000,0.000000,0.000000,0.133333,0.166667,0.066667,0.000000,0.000000
Negative_F2183,0.058824,0.000000,0.000000,0.000000,0.000000,0.294118,0.000000,0.117647,0.058824,0.294118,0.000000,0.000000,0.058824,0.000000,0.000000,0.000000,0.000000,0.117647,0.000000,0.000000
Negative_F1299,0.000000,0.000000,0.000000,0.000000,0.200000,0.066667,0.000000,0.200000,0.133333,0.066667,0.000000,0.133333,0.066667,0.000000,0.066667,0.066667,0.000000,0.000000,0.000000,0.000000
Negative_F224,0.000000,0.000000,0.000000,0.000000,0.217391,0.130435,0.173913,0.086957,0.000000,0.043478,0.000000,0.043478,0.000000,0.043478,0.043478,0.043478,0.000000,0.173913,0.000000,0.000000
Negative_F2017,0.260870,0.000000,0.000000,0.021739,0.000000,0.086957,0.000000,0.000000,0.434783,0.000000,0.000000,0.000000,0.108696,0.021739,0.021739,0.000000,0.043478,0.000000,0.000000,0.000000
Negative_F850,0.166667,0.000000,0.041667,0.000000,0.000000,0.083333,0.000000,0.166667,0.208333,0.041667,0.000000,0.083333,0.000000,0.041667,0.000000,0.041667,0.041667,0.041667,0.041667,0.000000
Negative_F562,0.047619,0.095238,0.000000,0.000000,0.000000,0.047619,0.000000,0.000000,0.000000,0.047619,0.000000,0.000000,0.000000,0.000000,0.285714,0.000000,0.000000,0.238095,0.095238,0.142857
Negative_F285,0.000000,0.142857,0.000000,0.000000,0.285714,0.071429,0.000000,0.142857,0.142857,0.000000,0.000000,0.000000,0.071429,0.000000,0.000000,0.000000,0.071429,0.071429,0.000000,0.000000
Negative_F585,0.166667,0.000000,0.041667,0.041667,0.000000,0.041667,0.000000,0.083333,0.125000,0.166667,0.000000,0.166667,0.000000,0.083333,0.000000,0.000000,0.000000,0.041667,0.041667,0.000000
Negative_F2053,0.100000,0.000000,0.000000,0.000000,0.100000,0.150000,0.000000,0.150000,0.100000,0.100000,0.050000,0.050000,0.050000,0.000000,0.000000,0.100000,0.000000,0.050000,0.000000,0.000000
Negative_F335,0.156250,0.000000,0.000000,0.000000,0.000000,0.156250,0.000000,0.093750,0.156250,0.093750,0.000000,0.000000,0.062500,0.000000,0.000000,0.062500,0.000000,0.218750,0.000000,0.000000
Negative_F649,0.078947,0.000000,0.000000,0.026316,0.000000,0.263158,0.026316,0.105263,0.131579,0.078947,0.000000,0.026316,0.000000,0.105263,0.026316,0.026316,0.026316,0.052632,0.000000,0.026316
Negative_F1706,0.026316,0.026316,0.052632,0.092105,0.013158,0.039474,0.026316,0.052632,0.078947,0.131579,0.039474,0.039474,0.065789,0.065789,0.052632,0.078947,0.052632,0.065789,0.000000,0.000000
Negative_F21,0.058824,0.000000,0.058824,0.000000,0.058824,0.117647,0.058824,0.235294,0.117647,0.058824,0.000000,0.000000,0.000000,0.000000,0.000000,0.117647,0.000000,0.117647,0.000000,0.000000
Negative_F566,0.054054,0.000000,0.027027,0.081081,0.108108,0.054054,0.027027,0.108108,0.135135,0.081081,0.000000,0.027027,0.027027,0.054054,0.135135,0.027027,0.027027,0.027027,0.000000,0.000000
Negative_F885,0.043478,0.000000,0.000000,0.000000,0.086957,0.086957,0.000000,0.043478,0.173913,0.260870,0.043478,0.000000,0.043478,0.000000,0.086957,0.043478,0.000000,0.086957,0.000000,0.000000
Negative_F334,0.241379,0.000000,0.000000,0.000000,0.000000,0.068966,0.000000,0.137931,0.206897,0.137931,0.000000,0.000000,0.103448,0.000000,0.000000,0.068966,0.000000,0.034483,0.000000,0.000000
Negative_F140,0.000000,0.193548,0.000000,0.000000,0.096774,0.032258,0.000000,0.064516,0.000000,0.032258,0.000000,0.032258,0.032258,0.032258,0.225806,0.000000,0.161290,0.032258,0.000000,0.064516
Negative_F1715,0.000000,0.083333,0.000000,0.000000,0.083333,0.000000,0.000000,0.000000,0.166667,0.250000,0.000000,0.000000,0.166667,0.000000,0.000000,0.166667,0.000000,0.083333,0.000000,0.000000
Negative_F908,0.000000,0.153846,0.000000,0.000000,0.153846,0.000000,0.000000,0.076923,0.076923,0.076923,0.076923,0.000000,0.076923,0.000000,0.153846,0.153846,0.000000,0.000000,0.000000,0.000000
Negative_F740,0.048780,0.146341,0.048780,0.000000,0.024390,0.048780,0.000000,0.000000,0.073171,0.048780,0.000000,0.048780,0.097561,0.024390,0.170732,0.048780,0.048780,0.000000,0.073171,0.048780
Negative_F1842,0.000000,0.230769,0.076923,0.000000,0.000000,0.115385,0.000000,0.038462,0.038462,0.000000,0.000000,0.000000,0.038462,0.000000,0.000000,0.192308,0.115385,0.000000,0.153846,0.000000
Negative_F517,0.000000,0.000000,0.000000,0.000000,0.076923,0.153846,0.000000,0.153846,0.076923,0.307692,0.000000,0.000000,0.076923,0.000000,0.000000,0.076923,0.000000,0.076923,0.000000,0.000000
Negative_F408,0.000000,0.000000,0.000000,0.000000,0.000000,0.657895,0.210526,0.000000,0.000000,0.000000,0.000000,0.052632,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.078947
Negative_F2113,0.050000,0.100000,0.000000,0.000000,0.050000,0.150000,0.000000,0.000000,0.200000,0.000000,0.000000,0.000000,0.200000,0.050000,0.000000,0.050000,0.050000,0.000000,0.050000,0.050000
Negative_F1430,0.027027,0.000000,0.067568,0.081081,0.027027,0.054054,0.013514,0.094595,0.094595,0.121622,0.013514,0.027027,0.040541,0.081081,0.054054,0.040541,0.094595,0.054054,0.000000,0.013514
Negative_F2354,0.018018,0.108108,0.054054,0.027027,0.054054,0.171171,0.063063,0.027027,0.027027,0.009009,0.000000,0.045045,0.099099,0.027027,0.063063,0.054054,0.054054,0.072072,0.009009,0.018018
Negative_F953,0.021739,0.173913,0.021739,0.021739,0.000000,0.130435,0.021739,0.043478,0.108696,0.065217,0.043478,0.021739,0.000000,0.021739,0.086957,0.021739,0.108696,0.000000,0.021739,0.065217
