ID,CTD_C_hydrophobicity_g1,CTD_C_hydrophobicity_g2,CTD_C_hydrophobicity_g3,CTD_C_vdw_volume_g1,CTD_C_vdw_volume_g2,CTD_C_vdw_volume_g3,CTD_C_polarity_g1,CTD_C_polarity_g2,CTD_C_polarity_g3,CTD_C_polarizability_g1,CTD_C_polarizability_g2,CTD_C_polarizability_g3,CTD_C_charge_g1,CTD_C_charge_g2,CTD_C_charge_g3,CTD_C_secondary_structure_g1,CTD_C_secondary_structure_g2,CTD_C_secondary_structure_g3,CTD_C_solvent_accessibility_g1,CTD_C_solvent_accessibility_g2,CTD_C_solvent_accessibility_g3,CTD_T_hydrophobicity_12,CTD_T_hydrophobicity_13,CTD_T_hydrophobicity_23,CTD_T_vdw_volume_12,CTD_T_vdw_volume_13,CTD_T_vdw_volume_23,CTD_T_polarity_12,CTD_T_polarity_13,CTD_T_polarity_23,CTD_T_polarizability_12,CTD_T_polarizability_13,CTD_T_polarizability_23,CTD_T_charge_12,CTD_T_charge_13,CTD_T_charge_23,CTD_T_secondary_structure_12,CTD_T_secondary_structure_13,CTD_T_secondary_structure_23,CTD_T_solvent_accessibility_12,CTD_T_solvent_accessibility_13,CTD_T_solvent_accessibility_23,CTD_D_hydrophobicity_g1_0,CTD_D_hydrophobicity_g1_25,CTD_D_hydrophobicity_g1_50,CTD_D_hydrophobicity_g1_75,CTD_D_hydrophobicity_g1_100,CTD_D_hydrophobicity_g2_0,CTD_D_hydrophobicity_g2_25,CTD_D_hydrophobicity_g2_50,CTD_D_hydrophobicity_g2_75,CTD_D_hydrophobicity_g2_100,CTD_D_hydrophobicity_g3_0,CTD_D_hydrophobicity_g3_25,CTD_D_hydrophobicity_g3_50,CTD_D_hydrophobicity_g3_75,CTD_D_hydrophobicity_g3_100,CTD_D_vdw_volume_g1_0,CTD_D_vdw_volume_g1_25,CTD_D_vdw_volume_g1_50,CTD_D_vdw_volume_g1_75,CTD_D_vdw_volume_g1_100,CTD_D_vdw_volume_g2_0,CTD_D_vdw_volume_g2_25,CTD_D_vdw_volume_g2_50,CTD_D_vdw_volume_g2_75,CTD_D_vdw_volume_g2_100,CTD_D_vdw_volume_g3_0,CTD_D_vdw_volume_g3_25,CTD_D_vdw_volume_g3_50,CTD_D_vdw_volume_g3_75,CTD_D_vdw_volume_g3_100,CTD_D_polarity_g1_0,CTD_D_polarity_g1_25,CTD_D_polarity_g1_50,CTD_D_polarity_g1_75,CTD_D_polarity_g1_100,CTD_D_polarity_g2_0,CTD_D_polarity_g2_25,CTD_D_polarity_g2_50,CTD_D_polarity_g2_75,CTD_D_polarity_g2_100,CTD_D_polarity_g3_0,CTD_D_polarity_g3_25,CTD_D_polarity_g3_50,CTD_D_polarity_g3_75,CTD_D_polarity_g3_100,CTD_D_polarizability_g1_0,CTD_D_polarizability_g1_25,CTD_D_polarizability_g1_50,CTD_D_polarizability_g1_75,CTD_D_polarizability_g1_100,CTD_D_polarizability_g2_0,CTD_D_polarizability_g2_25,CTD_D_polarizability_g2_50,CTD_D_polarizability_g2_75,CTD_D_polarizability_g2_100,CTD_D_polarizability_g3_0,CTD_D_polarizability_g3_25,CTD_D_polarizability_g3_50,CTD_D_polarizability_g3_75,CTD_D_polarizability_g3_100,CTD_D_charge_g1_0,CTD_D_charge_g1_25,CTD_D_charge_g1_50,CTD_D_charge_g1_75,CTD_D_charge_g1_100,CTD_D_charge_g2_0,CTD_D_charge_g2_25,CTD_D_charge_g2_50,CTD_D_charge_g2_75,CTD_D_charge_g2_100,CTD_D_charge_g3_0,CTD_D_charge_g3_25,CTD_D_charge_g3_50,CTD_D_charge_g3_75,CTD_D_charge_g3_100,CTD_D_secondary_structure_g1_0,CTD_D_secondary_structure_g1_25,CTD_D_secondary_structure_g1_50,CTD_D_secondary_structure_g1_75,CTD_D_secondary_structure_g1_100,CTD_D_secondary_structure_g2_0,CTD_D_secondary_structure_g2_25,CTD_D_secondary_structure_g2_50,CTD_D_secondary_structure_g2_75,CTD_D_secondary_structure_g2_100,CTD_D_secondary_structure_g3_0,CTD_D_secondary_structure_g3_25,CTD_D_secondary_structure_g3_50,CTD_D_secondary_structure_g3_75,CTD_D_secondary_structure_g3_100,CTD_D_solvent_accessibility_g1_0,CTD_D_solvent_accessibility_g1_25,CTD_D_solvent_accessibility_g1_50,CTD_D_solvent_accessibility_g1_75,CTD_D_solvent_accessibility_g1_100,CTD_D_solvent_accessibility_g2_0,CTD_D_solvent_accessibility_g2_25,CTD_D_solvent_accessibility_g2_50,CTD_D_solvent_accessibility_g2_75,CTD_D_solvent_accessibility_g2_100,CTD_D_solvent_accessibility_g3_0,CTD_D_solvent_accessibility_g3_25,CTD_D_solvent_accessibility_g3_50,CTD_D_solvent_accessibility_g3_75,CTD_D_solvent_accessibility_g3_100
Positive_1708,0.500000,0.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.000000,0.500000,0.000000,0.000000,1.000000,0.500000,0.500000,0.000000,0.500000,0.500000,0.000000,0.500000,0.500000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,0.000000,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,50.000000,50.000000,50.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,50.000000,50.000000,100.000000,100.000000,50.000000,50.000000,50.000000,50.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,50.000000,50.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,50.000000,50.000000,50.000000,50.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,100.000000,100.000000,100.000000,50.000000,50.000000,50.000000,50.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,50.000000,50.000000,50.000000,50.000000,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_1579,0.000000,0.588235,0.411765,0.882353,0.117647,0.000000,0.411765,0.588235,0.000000,0.588235,0.411765,0.000000,0.000000,1.000000,0.000000,0.117647,0.588235,0.294118,0.529412,0.000000,0.470588,0.000000,0.000000,0.562500,0.187500,0.000000,0.000000,0.562500,0.000000,0.000000,0.562500,0.000000,0.000000,0.000000,0.000000,0.000000,0.062500,0.187500,0.250000,0.000000,0.687500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.764706,23.529412,41.176471,82.352941,100.000000,5.882353,35.294118,58.823529,76.470588,88.235294,11.764706,29.411765,52.941176,82.352941,100.000000,5.882353,5.882353,5.882353,58.823529,58.823529,0.000000,0.000000,0.000000,0.000000,0.000000,5.882353,35.294118,58.823529,76.470588,88.235294,11.764706,23.529412,41.176471,82.352941,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.764706,23.529412,41.176471,82.352941,100.000000,5.882353,35.294118,58.823529,76.470588,88.235294,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.882353,29.411765,52.941176,76.470588,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11.764706,11.764706,11.764706,23.529412,23.529412,5.882353,41.176471,52.941176,70.588235,88.235294,17.647059,29.411765,82.352941,94.117647,100.000000,5.882353,23.529412,52.941176,64.705882,88.235294,0.000000,0.000000,0.000000,0.000000,0.000000,17.647059,29.411765,47.058824,82.352941,100.000000
Positive_1364,0.342105,0.315789,0.342105,0.368421,0.315789,0.315789,0.342105,0.315789,0.342105,0.315789,0.368421,0.315789,0.236842,0.710526,0.052632,0.526316,0.236842,0.236842,0.578947,0.342105,0.078947,0.216216,0.270270,0.243243,0.270270,0.189189,0.216216,0.243243,0.270270,0.216216,0.324324,0.135135,0.270270,0.405405,0.027027,0.081081,0.351351,0.216216,0.135135,0.459459,0.054054,0.027027,7.894737,23.684211,39.473684,50.000000,92.105263,5.263158,52.631579,68.421053,84.210526,100.000000,2.631579,18.421053,44.736842,73.684211,97.368421,5.263158,52.631579,68.421053,86.842105,100.000000,15.789474,34.210526,50.000000,73.684211,97.368421,2.631579,10.526316,21.052632,39.473684,92.105263,2.631579,18.421053,44.736842,73.684211,97.368421,5.263158,52.631579,68.421053,84.210526,100.000000,7.894737,23.684211,39.473684,50.000000,92.105263,28.947368,52.631579,71.052632,86.842105,100.000000,5.263158,34.210526,50.000000,73.684211,97.368421,2.631579,10.526316,21.052632,39.473684,92.105263,7.894737,21.052632,31.578947,47.368421,92.105263,2.631579,34.210526,57.894737,78.947368,100.000000,28.947368,28.947368,28.947368,86.842105,86.842105,2.631579,21.052632,47.368421,71.052632,94.736842,10.526316,26.315789,44.736842,73.684211,97.368421,5.263158,36.842105,65.789474,84.210526,100.000000,10.526316,36.842105,63.157895,81.578947,100.000000,7.894737,23.684211,39.473684,50.000000,92.105263,2.631579,2.631579,5.263158,68.421053,68.421053
Positive_1214,0.333333,0.285714,0.380952,0.190476,0.000000,0.809524,0.380952,0.190476,0.428571,0.190476,0.000000,0.809524,0.333333,0.666667,0.000000,0.523810,0.380952,0.095238,0.571429,0.333333,0.095238,0.150000,0.300000,0.300000,0.000000,0.250000,0.000000,0.200000,0.400000,0.050000,0.000000,0.250000,0.000000,0.450000,0.000000,0.000000,0.500000,0.050000,0.100000,0.350000,0.100000,0.100000,14.285714,19.047619,61.904762,80.952381,100.000000,4.761905,28.571429,47.619048,76.190476,95.238095,9.523810,23.809524,42.857143,71.428571,90.476190,4.761905,4.761905,47.619048,52.380952,95.238095,0.000000,0.000000,0.000000,0.000000,0.000000,9.523810,28.571429,57.142857,76.190476,100.000000,9.523810,23.809524,42.857143,71.428571,90.476190,4.761905,4.761905,47.619048,52.380952,95.238095,14.285714,28.571429,61.904762,76.190476,100.000000,4.761905,4.761905,47.619048,52.380952,95.238095,0.000000,0.000000,0.000000,0.000000,0.000000,9.523810,28.571429,57.142857,76.190476,100.000000,14.285714,19.047619,61.904762,80.952381,100.000000,4.761905,28.571429,47.619048,76.190476,95.238095,0.000000,0.000000,0.000000,0.000000,0.000000,14.285714,28.571429,61.904762,80.952381,100.000000,9.523810,23.809524,42.857143,71.428571,90.476190,4.761905,4.761905,4.761905,52.380952,52.380952,4.761905,23.809524,47.619048,71.428571,95.238095,14.285714,19.047619,61.904762,80.952381,100.000000,28.571429,28.571429,28.571429,76.190476,76.190476
Positive_1052,0.166667,0.583333,0.250000,0.666667,0.250000,0.083333,0.250000,0.583333,0.166667,0.583333,0.333333,0.083333,0.083333,0.833333,0.083333,0.500000,0.166667,0.333333,0.750000,0.166667,0.083333,0.272727,0.000000,0.363636,0.363636,0.090909,0.000000,0.363636,0.000000,0.272727,0.545455,0.090909,0.000000,0.090909,0.000000,0.181818,0.272727,0.272727,0.090909,0.272727,0.181818,0.000000,83.333333,83.333333,83.333333,100.000000,100.000000,8.333333,16.666667,33.333333,75.000000,91.666667,41.666667,41.666667,58.333333,66.666667,66.666667,8.333333,16.666667,33.333333,75.000000,91.666667,41.666667,41.666667,58.333333,66.666667,66.666667,100.000000,100.000000,100.000000,100.000000,100.000000,41.666667,41.666667,58.333333,66.666667,66.666667,8.333333,16.666667,33.333333,75.000000,91.666667,83.333333,83.333333,83.333333,100.000000,100.000000,8.333333,16.666667,50.000000,83.333333,91.666667,25.000000,25.000000,41.666667,58.333333,66.666667,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,8.333333,25.000000,41.666667,66.666667,91.666667,83.333333,83.333333,83.333333,83.333333,83.333333,8.333333,33.333333,50.000000,91.666667,100.000000,41.666667,41.666667,41.666667,66.666667,66.666667,16.666667,16.666667,25.000000,75.000000,83.333333,8.333333,33.333333,50.000000,66.666667,91.666667,83.333333,83.333333,83.333333,100.000000,100.000000,25.000000,25.000000,25.000000,25.000000,25.000000
Positive_1161,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,0.000000,0.500000,0.000000,1.000000,0.000000,0.000000,0.500000,0.500000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,50.000000,50.000000,50.000000,50.000000,100.000000,100.000000,100.000000,100.000000,100.000000,50.000000,50.000000,50.000000,50.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,100.000000,50.000000,50.000000,50.000000,50.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,50.000000,50.000000,50.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,100.000000,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.000000,50.000000,50.000000,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,100.000000,100.000000,100.000000,100.000000,100.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,50.000000,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_1644,0.000000,0.500000,0.500000,0.833333,0.166667,0.000000,0.500000,0.500000,0.000000,0.500000,0.500000,0.000000,0.000000,1.000000,0.000000,0.333333,0.666667,0.000000,0.833333,0.000000,0.166667,0.000000,0.000000,0.200000,0.400000,0.000000,0.000000,0.200000,0.000000,0.000000,0.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.600000,0.000000,0.000000,0.000000,0.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.666667,16.666667,33.333333,50.000000,50.000000,66.666667,66.666667,83.333333,100.000000,100.000000,16.666667,33.333333,50.000000,66.666667,100.000000,83.333333,83.333333,83.333333,83.333333,83.333333,0.000000,0.000000,0.000000,0.000000,0.000000,66.666667,66.666667,83.333333,100.000000,100.000000,16.666667,16.666667,33.333333,50.000000,50.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.666667,16.666667,33.333333,50.000000,50.000000,66.666667,66.666667,83.333333,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.666667,33.333333,50.000000,83.333333,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.666667,16.666667,16.666667,50.000000,50.000000,33.333333,33.333333,66.666667,83.333333,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16.666667,50.000000,66.666667,83.333333,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.333333,33.333333,33.333333,33.333333,33.333333
Positive_1187,0.500000,0.000000,0.500000,0.500000,0.000000,0.500000,0.500000,0.000000,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,0.000000,0.500000,0.500000,0.000000,0.500000,0.500000,0.000000,0.000000,0.800000,0.000000,0.000000,0.800000,0.000000,0.000000,0.800000,0.000000,0.000000,0.000000,0.800000,0.800000,0.000000,0.000000,0.800000,0.000000,0.000000,0.800000,0.000000,0.000000,16.666667,16.666667,66.666667,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.333333,33.333333,50.000000,83.333333,83.333333,33.333333,33.333333,50.000000,83.333333,83.333333,0.000000,0.000000,0.000000,0.000000,0.000000,16.666667,16.666667,66.666667,100.000000,100.000000,33.333333,33.333333,50.000000,83.333333,83.333333,0.000000,0.000000,0.000000,0.000000,0.000000,16.666667,16.666667,66.666667,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.333333,33.333333,50.000000,83.333333,83.333333,16.666667,16.666667,66.666667,100.000000,100.000000,16.666667,16.666667,66.666667,100.000000,100.000000,33.333333,33.333333,50.000000,83.333333,83.333333,0.000000,0.000000,0.000000,0.000000,0.000000,16.666667,16.666667,66.666667,100.000000,100.000000,33.333333,33.333333,50.000000,83.333333,83.333333,0.000000,0.000000,0.000000,0.000000,0.000000,33.333333,33.333333,50.000000,83.333333,83.333333,16.666667,16.666667,66.666667,100.000000,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Positive_1226,0.320000,0.240000,0.440000,0.240000,0.400000,0.360000,0.440000,0.240000,0.320000,0.200000,0.440000,0.360000,0.320000,0.680000,0.000000,0.920000,0.040000,0.040000,0.640000,0.320000,0.040000,0.000000,0.250000,0.416667,0.416667,0.000000,0.250000,0.416667,0.250000,0.000000,0.416667,0.000000,0.250000,0.250000,0.000000,0.000000,0.083333,0.083333,0.000000,0.250000,0.083333,0.000000,4.000000,8.000000,40.000000,68.000000,100.000000,16.000000,28.000000,52.000000,76.000000,88.000000,12.000000,24.000000,48.000000,80.000000,92.000000,16.000000,28.000000,52.000000,76.000000,88.000000,12.000000,24.000000,48.000000,80.000000,92.000000,4.000000,36.000000,44.000000,68.000000,100.000000,12.000000,24.000000,48.000000,80.000000,92.000000,16.000000,28.000000,52.000000,76.000000,88.000000,4.000000,8.000000,40.000000,68.000000,100.000000,16.000000,28.000000,56.000000,76.000000,88.000000,12.000000,24.000000,52.000000,80.000000,92.000000,4.000000,36.000000,44.000000,68.000000,100.000000,4.000000,8.000000,40.000000,68.000000,100.000000,12.000000,28.000000,52.000000,76.000000,92.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.000000,24.000000,56.000000,80.000000,100.000000,44.000000,44.000000,44.000000,44.000000,44.000000,52.000000,52.000000,52.000000,52.000000,52.000000,12.000000,24.000000,48.000000,76.000000,92.000000,4.000000,8.000000,40.000000,68.000000,100.000000,52.000000,52.000000,52.000000,52.000000,52.000000
Positive_1369,0.181818,0.545455,0.272727,0.545455,0.227273,0.227273,0.272727,0.545455,0.181818,0.545455,0.227273,0.227273,0.181818,0.818182,0.000000,0.681818,0.136364,0.181818,0.727273,0.181818,0.090909,0.238095,0.142857,0.428571,0.333333,0.333333,0.142857,0.428571,0.142857,0.238095,0.333333,0.333333,0.142857,0.380952,0.000000,0.000000,0.285714,0.333333,0.000000,0.333333,0.142857,0.047619,22.727273,22.727273,54.545455,68.181818,86.363636,4.545455,18.181818,36.363636,63.636364,100.000000,9.090909,40.909091,59.090909,81.818182,95.454545,4.545455,18.181818,36.363636,63.636364,100.000000,40.909091,59.090909,72.727273,81.818182,95.454545,9.090909,22.727273,54.545455,68.181818,86.363636,9.090909,40.909091,59.090909,81.818182,95.454545,4.545455,18.181818,36.363636,63.636364,100.000000,22.727273,22.727273,54.545455,68.181818,86.363636,4.545455,18.181818,36.363636,63.636364,100.000000,40.909091,59.090909,72.727273,81.818182,95.454545,9.090909,22.727273,54.545455,68.181818,86.363636,22.727273,22.727273,54.545455,68.181818,86.363636,4.545455,27.272727,45.454545,77.272727,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.090909,27.272727,63.636364,86.363636,100.000000,40.909091,40.909091,59.090909,72.727273,72.727273,4.545455,4.545455,18.181818,31.818182,50.000000,4.545455,31.818182,50.000000,77.272727,100.000000,22.727273,22.727273,54.545455,68.181818,86.363636,9.090909,9.090909,9.090909,18.181818,18.181818
