ID,Length,NetCharge,pI,K_frac,R_frac,H_frac,D_frac,E_frac,GRAVY,HydrophobicFrac,AromaticFrac,BomanIndex
Negative_F230,45.000000,10.392454,10.082227,0.133333,0.155556,0.000000,0.000000,0.044444,-0.700000,0.244444,0.044444,2.878000
Negative_F589,24.000000,3.548526,10.461623,0.166667,0.041667,0.000000,0.000000,0.041667,-0.012500,0.541667,0.166667,0.572500
Negative_F2297,13.000000,0.557428,9.750021,0.000000,0.076923,0.000000,0.000000,0.000000,1.246154,0.615385,0.076923,-0.556923
Negative_F1161,14.000000,0.552888,8.590944,0.142857,0.000000,0.000000,0.071429,0.000000,0.871429,0.642857,0.071429,-0.686429
Negative_F2329,88.000000,-2.693216,4.813774,0.045455,0.022727,0.000000,0.034091,0.056818,0.118182,0.352273,0.056818,0.997386
Negative_F2331,171.000000,18.194934,9.996677,0.122807,0.058480,0.017544,0.029240,0.040936,-0.083041,0.432749,0.093567,1.427427
Negative_F2333,32.000000,1.431020,8.426550,0.062500,0.031250,0.000000,0.000000,0.031250,0.265625,0.281250,0.062500,0.880000
Negative_F1466,73.000000,5.566755,9.508909,0.109589,0.027397,0.027397,0.013699,0.041096,-0.306849,0.328767,0.000000,1.514247
Negative_F1468,73.000000,5.568815,9.560678,0.095890,0.027397,0.027397,0.000000,0.041096,-0.150685,0.342466,0.000000,1.272466
Negative_F1471,73.000000,10.432117,9.978175,0.164384,0.068493,0.000000,0.027397,0.054795,-0.350685,0.369863,0.054795,1.836575
Negative_F2339,14.000000,5.503334,11.556748,0.142857,0.285714,0.000000,0.000000,0.000000,-0.207143,0.428571,0.142857,3.213571
Negative_F2346,32.000000,8.390048,9.697673,0.250000,0.093750,0.000000,0.000000,0.062500,-1.481250,0.125000,0.062500,3.335938
Negative_F1479,71.000000,5.492885,9.461590,0.084507,0.098592,0.000000,0.042254,0.056338,-0.535211,0.352113,0.084507,2.425352
Negative_F2347,44.000000,1.488524,8.519320,0.022727,0.022727,0.022727,0.000000,0.000000,0.034091,0.386364,0.068182,0.863409
Negative_F2366,84.000000,6.449815,9.219382,0.154762,0.023810,0.023810,0.047619,0.047619,-0.446429,0.357143,0.071429,1.473571
Negative_F2369,22.000000,5.454303,10.164166,0.045455,0.227273,0.000000,0.000000,0.000000,-0.463636,0.272727,0.090909,3.060455
Negative_F2097,45.000000,2.398393,8.626853,0.155556,0.022222,0.000000,0.044444,0.066667,-0.473333,0.244444,0.044444,1.933111
Negative_F2381,13.000000,-0.478259,5.971584,0.000000,0.076923,0.000000,0.000000,0.076923,0.869231,0.615385,0.153846,0.119231
