ID,CTD_C_hydrophobicity_g1,CTD_C_hydrophobicity_g2,CTD_C_hydrophobicity_g3,CTD_C_vdw_volume_g1,CTD_C_vdw_volume_g2,CTD_C_vdw_volume_g3,CTD_C_polarity_g1,CTD_C_polarity_g2,CTD_C_polarity_g3,CTD_C_polarizability_g1,CTD_C_polarizability_g2,CTD_C_polarizability_g3,CTD_C_charge_g1,CTD_C_charge_g2,CTD_C_charge_g3,CTD_C_secondary_structure_g1,CTD_C_secondary_structure_g2,CTD_C_secondary_structure_g3,CTD_C_solvent_accessibility_g1,CTD_C_solvent_accessibility_g2,CTD_C_solvent_accessibility_g3,CTD_T_hydrophobicity_12,CTD_T_hydrophobicity_13,CTD_T_hydrophobicity_23,CTD_T_vdw_volume_12,CTD_T_vdw_volume_13,CTD_T_vdw_volume_23,CTD_T_polarity_12,CTD_T_polarity_13,CTD_T_polarity_23,CTD_T_polarizability_12,CTD_T_polarizability_13,CTD_T_polarizability_23,CTD_T_charge_12,CTD_T_charge_13,CTD_T_charge_23,CTD_T_secondary_structure_12,CTD_T_secondary_structure_13,CTD_T_secondary_structure_23,CTD_T_solvent_accessibility_12,CTD_T_solvent_accessibility_13,CTD_T_solvent_accessibility_23,CTD_D_hydrophobicity_g1_0,CTD_D_hydrophobicity_g1_25,CTD_D_hydrophobicity_g1_50,CTD_D_hydrophobicity_g1_75,CTD_D_hydrophobicity_g1_100,CTD_D_hydrophobicity_g2_0,CTD_D_hydrophobicity_g2_25,CTD_D_hydrophobicity_g2_50,CTD_D_hydrophobicity_g2_75,CTD_D_hydrophobicity_g2_100,CTD_D_hydrophobicity_g3_0,CTD_D_hydrophobicity_g3_25,CTD_D_hydrophobicity_g3_50,CTD_D_hydrophobicity_g3_75,CTD_D_hydrophobicity_g3_100,CTD_D_vdw_volume_g1_0,CTD_D_vdw_volume_g1_25,CTD_D_vdw_volume_g1_50,CTD_D_vdw_volume_g1_75,CTD_D_vdw_volume_g1_100,CTD_D_vdw_volume_g2_0,CTD_D_vdw_volume_g2_25,CTD_D_vdw_volume_g2_50,CTD_D_vdw_volume_g2_75,CTD_D_vdw_volume_g2_100,CTD_D_vdw_volume_g3_0,CTD_D_vdw_volume_g3_25,CTD_D_vdw_volume_g3_50,CTD_D_vdw_volume_g3_75,CTD_D_vdw_volume_g3_100,CTD_D_polarity_g1_0,CTD_D_polarity_g1_25,CTD_D_polarity_g1_50,CTD_D_polarity_g1_75,CTD_D_polarity_g1_100,CTD_D_polarity_g2_0,CTD_D_polarity_g2_25,CTD_D_polarity_g2_50,CTD_D_polarity_g2_75,CTD_D_polarity_g2_100,CTD_D_polarity_g3_0,CTD_D_polarity_g3_25,CTD_D_polarity_g3_50,CTD_D_polarity_g3_75,CTD_D_polarity_g3_100,CTD_D_polarizability_g1_0,CTD_D_polarizability_g1_25,CTD_D_polarizability_g1_50,CTD_D_polarizability_g1_75,CTD_D_polarizability_g1_100,CTD_D_polarizability_g2_0,CTD_D_polarizability_g2_25,CTD_D_polarizability_g2_50,CTD_D_polarizability_g2_75,CTD_D_polarizability_g2_100,CTD_D_polarizability_g3_0,CTD_D_polarizability_g3_25,CTD_D_polarizability_g3_50,CTD_D_polarizability_g3_75,CTD_D_polarizability_g3_100,CTD_D_charge_g1_0,CTD_D_charge_g1_25,CTD_D_charge_g1_50,CTD_D_charge_g1_75,CTD_D_charge_g1_100,CTD_D_charge_g2_0,CTD_D_charge_g2_25,CTD_D_charge_g2_50,CTD_D_charge_g2_75,CTD_D_charge_g2_100,CTD_D_charge_g3_0,CTD_D_charge_g3_25,CTD_D_charge_g3_50,CTD_D_charge_g3_75,CTD_D_charge_g3_100,CTD_D_secondary_structure_g1_0,CTD_D_secondary_structure_g1_25,CTD_D_secondary_structure_g1_50,CTD_D_secondary_structure_g1_75,CTD_D_secondary_structure_g1_100,CTD_D_secondary_structure_g2_0,CTD_D_secondary_structure_g2_25,CTD_D_secondary_structure_g2_50,CTD_D_secondary_structure_g2_75,CTD_D_secondary_structure_g2_100,CTD_D_secondary_structure_g3_0,CTD_D_secondary_structure_g3_25,CTD_D_secondary_structure_g3_50,CTD_D_secondary_structure_g3_75,CTD_D_secondary_structure_g3_100,CTD_D_solvent_accessibility_g1_0,CTD_D_solvent_accessibility_g1_25,CTD_D_solvent_accessibility_g1_50,CTD_D_solvent_accessibility_g1_75,CTD_D_solvent_accessibility_g1_100,CTD_D_solvent_accessibility_g2_0,CTD_D_solvent_accessibility_g2_25,CTD_D_solvent_accessibility_g2_50,CTD_D_solvent_accessibility_g2_75,CTD_D_solvent_accessibility_g2_100,CTD_D_solvent_accessibility_g3_0,CTD_D_solvent_accessibility_g3_25,CTD_D_solvent_accessibility_g3_50,CTD_D_solvent_accessibility_g3_75,CTD_D_solvent_accessibility_g3_100
Negative_F230,0.400000,0.288889,0.311111,0.377778,0.288889,0.333333,0.355556,0.244444,0.400000,0.222222,0.444444,0.333333,0.288889,0.666667,0.044444,0.466667,0.333333,0.200000,0.444444,0.400000,0.155556,0.204545,0.227273,0.227273,0.181818,0.295455,0.090909,0.204545,0.250000,0.181818,0.204545,0.136364,0.250000,0.363636,0.022727,0.022727,0.340909,0.181818,0.159091,0.340909,0.136364,0.090909,8.888889,31.111111,62.222222,86.666667,100.000000,2.222222,22.222222,42.222222,68.888889,82.222222,4.444444,24.444444,44.444444,66.666667,91.111111,2.222222,35.555556,51.111111,75.555556,91.111111,4.444444,13.333333,44.444444,60.000000,66.666667,17.777778,26.666667,71.111111,93.333333,100.000000,4.444444,20.000000,40.000000,53.333333,91.111111,2.222222,33.333333,48.888889,75.555556,82.222222,8.888889,31.111111,62.222222,86.666667,100.000000,2.222222,33.333333,42.222222,75.555556,82.222222,4.444444,15.555556,46.666667,62.222222,91.111111,17.777778,26.666667,71.111111,93.333333,100.000000,17.777778,37.777778,80.000000,93.333333,100.000000,2.222222,20.000000,42.222222,66.666667,91.111111,60.000000,60.000000,60.000000,62.222222,62.222222,13.333333,37.777778,60.000000,84.444444,100.000000,4.444444,20.000000,40.000000,73.333333,91.111111,2.222222,33.333333,48.888889,68.888889,82.222222,2.222222,24.444444,42.222222,66.666667,91.111111,8.888889,31.111111,62.222222,86.666667,100.000000,11.111111,20.000000,48.888889,75.555556,77.777778
Negative_F589,0.333333,0.125000,0.541667,0.125000,0.416667,0.458333,0.541667,0.125000,0.333333,0.125000,0.416667,0.458333,0.208333,0.750000,0.041667,0.541667,0.291667,0.166667,0.500000,0.333333,0.166667,0.173913,0.260870,0.043478,0.130435,0.086957,0.478261,0.043478,0.260870,0.173913,0.130435,0.086957,0.478261,0.347826,0.000000,0.086957,0.347826,0.217391,0.000000,0.217391,0.086957,0.217391,12.500000,20.833333,70.833333,83.333333,95.833333,4.166667,4.166667,16.666667,75.000000,75.000000,8.333333,33.333333,45.833333,58.333333,100.000000,4.166667,4.166667,16.666667,75.000000,75.000000,8.333333,33.333333,45.833333,66.666667,79.166667,12.500000,29.166667,62.500000,91.666667,100.000000,8.333333,33.333333,45.833333,58.333333,100.000000,4.166667,4.166667,16.666667,75.000000,75.000000,12.500000,20.833333,70.833333,83.333333,95.833333,4.166667,4.166667,16.666667,75.000000,75.000000,8.333333,33.333333,45.833333,66.666667,79.166667,12.500000,29.166667,62.500000,91.666667,100.000000,12.500000,20.833333,83.333333,91.666667,95.833333,4.166667,29.166667,45.833333,66.666667,100.000000,70.833333,70.833333,70.833333,70.833333,70.833333,8.333333,33.333333,54.166667,83.333333,100.000000,25.000000,29.166667,41.666667,62.500000,87.500000,4.166667,4.166667,16.666667,75.000000,79.166667,4.166667,25.000000,37.500000,50.000000,87.500000,12.500000,20.833333,70.833333,83.333333,95.833333,16.666667,16.666667,54.166667,75.000000,100.000000
Negative_F2297,0.153846,0.384615,0.461538,0.384615,0.461538,0.153846,0.461538,0.384615,0.153846,0.384615,0.461538,0.153846,0.076923,0.923077,0.000000,0.538462,0.153846,0.307692,0.769231,0.153846,0.076923,0.250000,0.083333,0.416667,0.583333,0.083333,0.166667,0.416667,0.083333,0.250000,0.583333,0.083333,0.166667,0.166667,0.000000,0.000000,0.250000,0.500000,0.000000,0.250000,0.083333,0.083333,53.846154,53.846154,53.846154,84.615385,84.615385,23.076923,30.769231,46.153846,61.538462,76.923077,7.692308,15.384615,38.461538,92.307692,100.000000,23.076923,30.769231,46.153846,61.538462,76.923077,15.384615,38.461538,53.846154,92.307692,100.000000,7.692308,7.692308,7.692308,84.615385,84.615385,7.692308,15.384615,38.461538,92.307692,100.000000,23.076923,30.769231,46.153846,61.538462,76.923077,53.846154,53.846154,53.846154,84.615385,84.615385,23.076923,30.769231,46.153846,61.538462,76.923077,15.384615,38.461538,53.846154,92.307692,100.000000,7.692308,7.692308,7.692308,84.615385,84.615385,84.615385,84.615385,84.615385,84.615385,84.615385,7.692308,23.076923,46.153846,69.230769,100.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.384615,30.769231,61.538462,84.615385,100.000000,7.692308,7.692308,7.692308,92.307692,92.307692,23.076923,23.076923,46.153846,53.846154,76.923077,7.692308,23.076923,38.461538,69.230769,100.000000,53.846154,53.846154,53.846154,84.615385,84.615385,76.923077,76.923077,76.923077,76.923077,76.923077
Negative_F1161,0.285714,0.142857,0.571429,0.214286,0.500000,0.285714,0.571429,0.142857,0.285714,0.214286,0.500000,0.285714,0.142857,0.785714,0.071429,0.500000,0.285714,0.214286,0.642857,0.285714,0.071429,0.153846,0.461538,0.153846,0.230769,0.076923,0.384615,0.153846,0.461538,0.153846,0.230769,0.076923,0.384615,0.307692,0.000000,0.153846,0.153846,0.230769,0.230769,0.538462,0.076923,0.076923,14.285714,14.285714,35.714286,57.142857,85.714286,50.000000,50.000000,50.000000,92.857143,92.857143,7.142857,21.428571,42.857143,71.428571,100.000000,50.000000,50.000000,85.714286,92.857143,92.857143,7.142857,14.285714,42.857143,78.571429,100.000000,21.428571,21.428571,35.714286,57.142857,64.285714,7.142857,21.428571,42.857143,71.428571,100.000000,50.000000,50.000000,50.000000,92.857143,92.857143,14.285714,14.285714,35.714286,57.142857,85.714286,50.000000,50.000000,85.714286,92.857143,92.857143,7.142857,14.285714,42.857143,78.571429,100.000000,21.428571,21.428571,35.714286,57.142857,64.285714,35.714286,35.714286,35.714286,57.142857,57.142857,7.142857,21.428571,50.000000,78.571429,100.000000,85.714286,85.714286,85.714286,85.714286,85.714286,28.571429,35.714286,57.142857,92.857143,100.000000,7.142857,7.142857,21.428571,71.428571,78.571429,14.285714,14.285714,50.000000,85.714286,85.714286,7.142857,28.571429,50.000000,78.571429,100.000000,14.285714,14.285714,35.714286,57.142857,85.714286,64.285714,64.285714,64.285714,64.285714,64.285714
Negative_F2329,0.238636,0.397727,0.363636,0.534091,0.318182,0.147727,0.375000,0.386364,0.238636,0.386364,0.465909,0.147727,0.068182,0.840909,0.090909,0.340909,0.397727,0.261364,0.488636,0.238636,0.272727,0.137931,0.218391,0.310345,0.241379,0.172414,0.103448,0.321839,0.229885,0.126437,0.310345,0.149425,0.126437,0.126437,0.011494,0.137931,0.356322,0.172414,0.218391,0.252874,0.275862,0.103448,1.136364,12.500000,31.818182,73.863636,97.727273,3.409091,30.681818,52.272727,68.181818,100.000000,4.545455,29.545455,60.227273,82.954545,98.863636,1.136364,36.363636,57.954545,77.272727,100.000000,2.272727,10.227273,23.863636,73.863636,98.863636,12.500000,31.818182,45.454545,64.772727,94.318182,4.545455,29.545455,60.227273,82.954545,98.863636,3.409091,32.954545,52.272727,68.181818,100.000000,1.136364,12.500000,31.818182,73.863636,97.727273,1.136364,35.227273,55.681818,75.000000,100.000000,2.272727,17.045455,44.318182,80.681818,98.863636,12.500000,31.818182,45.454545,64.772727,94.318182,12.500000,14.772727,31.818182,45.454545,94.318182,3.409091,29.545455,53.409091,76.136364,100.000000,1.136364,2.272727,10.227273,71.590909,88.636364,2.272727,18.181818,45.454545,73.863636,98.863636,3.409091,29.545455,55.681818,79.545455,96.590909,1.136364,26.136364,51.136364,75.000000,100.000000,4.545455,34.090909,61.363636,81.818182,98.863636,1.136364,12.500000,31.818182,73.863636,97.727273,3.409091,28.409091,42.045455,57.954545,100.000000
Negative_F2331,0.339181,0.274854,0.385965,0.298246,0.380117,0.321637,0.409357,0.233918,0.356725,0.251462,0.426901,0.321637,0.181287,0.748538,0.070175,0.526316,0.280702,0.192982,0.450292,0.339181,0.210526,0.170588,0.270588,0.252941,0.264706,0.170588,0.235294,0.217647,0.294118,0.158824,0.264706,0.135294,0.270588,0.282353,0.011765,0.094118,0.247059,0.200000,0.141176,0.305882,0.211765,0.135294,2.339181,36.257310,49.122807,76.023392,100.000000,5.847953,19.883041,41.520468,74.853801,99.415205,0.584795,22.222222,50.292398,72.514620,97.660819,5.263158,21.052632,46.198830,73.684211,99.415205,1.169591,26.315789,49.707602,76.023392,100.000000,0.584795,30.994152,52.046784,77.192982,96.491228,0.584795,22.222222,50.292398,76.608187,97.660819,5.847953,19.883041,33.333333,74.269006,99.415205,2.339181,36.257310,53.216374,75.438596,100.000000,5.847953,21.637427,50.877193,74.853801,99.415205,1.169591,24.561404,49.122807,71.345029,100.000000,0.584795,30.994152,52.046784,77.192982,96.491228,4.678363,35.087719,45.029240,79.532164,96.491228,0.584795,21.637427,49.122807,73.099415,100.000000,25.146199,34.502924,53.801170,76.023392,98.245614,0.584795,28.070175,48.538012,74.853801,100.000000,1.754386,21.637427,47.368421,72.514620,95.321637,2.339181,22.807018,55.555556,77.777778,99.415205,1.169591,22.222222,49.707602,72.514620,97.660819,2.339181,36.257310,49.122807,76.023392,100.000000,0.584795,19.298246,50.877193,76.608187,99.415205
Negative_F2333,0.218750,0.343750,0.437500,0.500000,0.343750,0.156250,0.437500,0.343750,0.218750,0.312500,0.531250,0.156250,0.093750,0.875000,0.031250,0.281250,0.468750,0.250000,0.500000,0.218750,0.281250,0.193548,0.225806,0.322581,0.451613,0.129032,0.064516,0.322581,0.225806,0.193548,0.516129,0.064516,0.129032,0.161290,0.000000,0.064516,0.161290,0.193548,0.258065,0.225806,0.322581,0.193548,6.250000,12.500000,68.750000,90.625000,100.000000,9.375000,25.000000,40.625000,71.875000,96.875000,3.125000,34.375000,50.000000,75.000000,93.750000,9.375000,25.000000,40.625000,71.875000,96.875000,12.500000,37.500000,53.125000,75.000000,93.750000,3.125000,6.250000,62.500000,90.625000,100.000000,3.125000,34.375000,50.000000,75.000000,93.750000,9.375000,25.000000,40.625000,71.875000,96.875000,6.250000,12.500000,68.750000,90.625000,100.000000,9.375000,25.000000,40.625000,71.875000,96.875000,12.500000,34.375000,53.125000,75.000000,93.750000,3.125000,6.250000,62.500000,90.625000,100.000000,6.250000,6.250000,90.625000,100.000000,100.000000,3.125000,28.125000,50.000000,71.875000,96.875000,12.500000,12.500000,12.500000,12.500000,12.500000,6.250000,50.000000,65.625000,90.625000,100.000000,3.125000,25.000000,46.875000,75.000000,87.500000,9.375000,15.625000,31.250000,71.875000,96.875000,3.125000,31.250000,46.875000,65.625000,93.750000,6.250000,12.500000,68.750000,90.625000,100.000000,9.375000,25.000000,40.625000,71.875000,96.875000
Negative_F1466,0.342466,0.356164,0.301370,0.397260,0.424658,0.178082,0.301370,0.328767,0.369863,0.273973,0.547945,0.178082,0.136986,0.808219,0.054795,0.452055,0.260274,0.287671,0.410959,0.342466,0.246575,0.236111,0.277778,0.166667,0.319444,0.138889,0.138889,0.138889,0.305556,0.263889,0.333333,0.069444,0.208333,0.194444,0.027778,0.083333,0.347222,0.222222,0.097222,0.333333,0.208333,0.180556,8.219178,30.136986,61.643836,83.561644,100.000000,1.369863,26.027397,45.205479,68.493151,98.630137,4.109589,20.547945,47.945205,79.452055,91.780822,1.369863,23.287671,47.945205,69.863014,98.630137,4.109589,21.917808,50.684932,79.452055,100.000000,10.958904,39.726027,65.753425,83.561644,97.260274,4.109589,20.547945,47.945205,79.452055,91.780822,1.369863,23.287671,45.205479,68.493151,98.630137,8.219178,28.767123,53.424658,83.561644,100.000000,1.369863,19.178082,49.315068,68.493151,98.630137,4.109589,21.917808,45.205479,72.602740,100.000000,10.958904,39.726027,65.753425,83.561644,97.260274,10.958904,39.726027,65.753425,83.561644,97.260274,1.369863,23.287671,46.575342,72.602740,100.000000,8.219178,8.219178,53.424658,87.671233,95.890411,1.369863,20.547945,50.684932,71.232877,97.260274,4.109589,19.178082,47.945205,69.863014,86.301370,2.739726,36.986301,63.013699,78.082192,100.000000,1.369863,20.547945,47.945205,69.863014,91.780822,8.219178,30.136986,61.643836,83.561644,100.000000,2.739726,27.397260,45.205479,76.712329,98.630137
Negative_F1468,0.328767,0.342466,0.328767,0.369863,0.465753,0.164384,0.328767,0.315068,0.356164,0.260274,0.575342,0.164384,0.123288,0.835616,0.041096,0.452055,0.287671,0.260274,0.438356,0.328767,0.232877,0.194444,0.291667,0.180556,0.291667,0.111111,0.194444,0.138889,0.333333,0.208333,0.319444,0.055556,0.250000,0.208333,0.013889,0.069444,0.361111,0.208333,0.111111,0.375000,0.222222,0.111111,8.219178,28.767123,53.424658,82.191781,100.000000,1.369863,34.246575,49.315068,73.972603,98.630137,4.109589,16.438356,38.356164,71.232877,91.780822,1.369863,23.287671,49.315068,73.972603,98.630137,4.109589,21.917808,38.356164,80.821918,100.000000,10.958904,28.767123,61.643836,79.452055,94.520548,4.109589,16.438356,38.356164,71.232877,91.780822,1.369863,34.246575,52.054795,75.342466,98.630137,8.219178,28.767123,50.684932,82.191781,100.000000,1.369863,23.287671,52.054795,75.342466,98.630137,4.109589,21.917808,45.205479,73.972603,100.000000,10.958904,28.767123,61.643836,79.452055,94.520548,10.958904,39.726027,65.753425,83.561644,94.520548,1.369863,24.657534,47.945205,73.972603,100.000000,8.219178,8.219178,53.424658,87.671233,87.671233,1.369863,21.917808,50.684932,71.232877,94.520548,4.109589,19.178082,47.945205,69.863014,98.630137,2.739726,36.986301,63.013699,78.082192,100.000000,1.369863,20.547945,47.945205,69.863014,95.890411,8.219178,28.767123,53.424658,82.191781,100.000000,2.739726,34.246575,46.575342,76.712329,98.630137
Negative_F1471,0.410959,0.232877,0.356164,0.301370,0.383562,0.315068,0.369863,0.219178,0.410959,0.191781,0.493151,0.315068,0.232877,0.684932,0.082192,0.452055,0.301370,0.246575,0.438356,0.410959,0.150685,0.194444,0.277778,0.138889,0.236111,0.208333,0.236111,0.138889,0.277778,0.194444,0.208333,0.125000,0.319444,0.333333,0.055556,0.111111,0.319444,0.208333,0.125000,0.402778,0.125000,0.069444,6.849315,35.616438,64.383562,82.191781,98.630137,2.739726,20.547945,38.356164,60.273973,83.561644,1.369863,16.438356,41.095890,72.602740,100.000000,2.739726,19.178082,36.986301,60.273973,83.561644,13.698630,34.246575,57.534247,75.342466,98.630137,1.369863,10.958904,52.054795,84.931507,100.000000,1.369863,16.438356,42.465753,72.602740,100.000000,2.739726,19.178082,36.986301,60.273973,83.561644,6.849315,35.616438,64.383562,82.191781,98.630137,9.589041,24.657534,36.986301,60.273973,83.561644,2.739726,28.767123,54.794521,73.972603,98.630137,1.369863,10.958904,52.054795,84.931507,100.000000,6.849315,27.397260,67.123288,84.931507,97.260274,1.369863,21.917808,45.205479,72.602740,100.000000,31.506849,34.246575,50.684932,64.383562,94.520548,4.109589,30.136986,63.013699,82.191781,97.260274,1.369863,21.917808,42.465753,60.273973,100.000000,2.739726,20.547945,45.205479,68.493151,98.630137,1.369863,17.808219,36.986301,68.493151,100.000000,6.849315,35.616438,64.383562,82.191781,98.630137,2.739726,19.178082,42.465753,60.273973,79.452055
